title,abstract,lcsh_subject_headings,Predicted_Label_Count,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
octaviano larrazolo,"presents a biography of octaviano larrazolo, governor of new mexico, and the first hispanic to serve in the united states senate",governors; hispanic americans,2,"1859-1930, Governors of New Mexico, Hispanic Americans, Larrazolo, New Mexico History, New Mexico Politics and Government, Octaviano Ambrose, Republican Party (U.S.), United States Senators, United States Senators from New Mexico","1859-1950,Mexican American mayors,Hispanic Americans,Bothriochloa,Chronology, Mexican,Mexican American political activists,Vampyressa brocki,Republican,United States. Congress. Senate,Mexican American legislators",0.50,0.09,0.33,0.47,11.00
bulwark against the bay : the people of corpus christi and their seawall,"""after a devastating hurricane in 1919, the people of corpus christi faced the stark reality of their vulnerability it was clear that something had to be done to protect the community against future storms, but the mere will to take precautionary measures did not necessarily lead the way instead, two decades would pass before an effective solution was in place mary jo o'rear, author of storm over the bay, returns to tell the story of a city's long and often frustrating path to protecting itself the result of tireless research, bulwark against the bay reveals that in the decades after the 1919 storm, eight different plans for a seawall along corpus christi bay were put forth o'rear argues that each plan reflected the point of view of a particular engineer, politician, or artist while also reflecting the aspirations and anxieties of the time the struggle to construct a seawall was not merely an engineering challenge; it was also bound up with the growing popularity of the ku klux klan, local aversion to roman catholicism, the emergence of the league of united latin american citizens, new efforts on behalf of african american equality, the impact of the great depression, support for franklin roosevelt, and reactions to the new deal a case study of a community wrestling with itself even as it races with the clock, bulwark against the bay adds to our understanding of urban history, boardroom and backroom politics, and the sometimes harsh realities of geography and climate""--publisher",sea walls; hurricane protection,4,"African Americans, Catholics, City planning, Coastal engineering, Corpus Christi (Tex.), Engineering, Federal aid, Great Depression, Hurricane Protection, Hurricane damage, Ku Klux Klan, Politics and government, Seawalls, Social justice, Texas, Urban Planning","African Americans,Catholics,City planning,Coastal engineering,Corpus Christi (Tex.),Engineering,Federal aid,Intervention, 1968,Hurricane protection,Hurricane damage,k-groups,Politics and government,Sea-walls,Social justice,Texas,City planning",0.50,0.06,0.26,0.35,16.00
the new brazil : regional imperialism and the new democracy,"once upon a time, lula's election in brazil offered a pretense of hope to the international left in the midst of a rapidly shifting global economy, brazil has since emerged as a powerful new player on the geopolitical stage with three short years of aggressive economic restructuring, lula embraced the legacy of the country's oligarchic past, paying off huge imf loans years ahead of schedule and placing brazil at the center of political and economic power in the region brazil is now the poster child for neoliberal capitalism within its borders, vast inequities in wealth and access to social services still exist -- a striking contrast to the nation's newfound prestige in world politics at the same time, unrest is growing small protests against the costs of public transportation have grown to mass demonstrations that question the very foundations of capital and the state in brazil raul zibechi dedicates this book to ""the new forces emerging in latin america, to all the movements and acts of rebellion against current forms of oppression in mining, monoculture, hydroelectric dams -- and against the new imperialism"" he makes it clear that movements and militants must understand the implications of brazil's rise to the global power as part of changes happening in the world system toward that end, he provides a step-by-step history and analysis of the country's trajectory in recent decades including the new forms of militarization and ""sub-imperialism"" it has developed; the increasing collusion among its unions, multinational corporations, and the state; its devastating conquest of the amazon; and, most importantly, the antisystemic movements that are getting stronger and smarter as they try to push the entire region in a more radical and humane direction",democracy; militarism; labor unions; corporations,3,"Brazil, Capitalism, Democracy, Globalization, Imperialism, Latin America, Neoliberalism, Political economy, Social movements","Brazil,Capitalism,Democracy,Globalization,Imperialism,Latin America,Neoliberalism,Political entrepreneurship,Social movements",0.25,0.11,0.50,0.51,9.00
weird louisiana : your travel guide to the louisiana's local legends and best kept secrets,"""author roger manley, dogged investigator of all things weird, drove down many a back road, chatting up locals in order to hear tales of strange stuff like ghosts, bottomless ponds, hubcap ranches, and abandoned insane asylums oftentimes, he'd get a response like this: ""you said 'weird' what's so weird about all that? you're talking reg'lar life here in loosiana!"" but more often than not, he would then hear about all kinds of genuine outrageousness by any standards"" --cover, p 2",curiosities and wonders,2,"American Folklore, Folklore, Ghost stories, Local legends, Louisiana, Louisiana Folklore, Paranormal phenomena, Travel guides, Travel writing","Public folklore,Folklore,Ghost stories,Legends,Louisiana,Louisiana style,Near-death experiences,Tour guides (Manuals),Travel writing",0.00,0.00,0.00,0.22,9.00
perspectives on the ancient maya of chetumal bay,this volume brings together mexican and belize research as well as spanish-language and english-language research on the chetumal bay maya site,mayas; mayas; excavations (archaeology); excavations (archaeology),3,"Archaeological sites, Belize, Chetumal Bay (Mexico and Belize), Excavations (Archaeology), Maya architecture, Maya pottery, Mayan civilization, Mesoamerica, Pre-Columbian art","Archaeological sites,Belize,Amatique Bay (Belize and Guatemala),Excavations (Archaeology),Maya architecture,Maya pottery,Mayan influences,Myrica,Chiricahua painting",0.50,0.11,0.50,0.65,9.00
mapping diaspora : african american roots tourism in brazil,"""brazil, like several countries in africa, has become a major destination for african american tourists seeking the cultural roots of the black atlantic diaspora drawing on over a decade of ethnographic research as well as textual, visual, and archival sources, patricia de santana pinho investigates african american roots tourism, a complex, poignant kind of travel that provides profound personal and collective meaning for those searching for black identity and heritage it also provides, as pinho's interviews with brazilian tour guides, state officials, and afro-brazilian activists reveal, economic and political rewards that support a structured industry""-- provided by publisher",african diaspora; blacks; tourism; african americans,4,"African American travelers, African Americans, African diaspora, Afro-Brazilian culture, Afro-Brazilians, Black Atlantic, Blacks, Brazil, Cultural heritage, Cultural tourism, Diaspora, Ethnic identity, Heritage tourism, Identity, Tourism, Tourism industry","African American women travelers,African Americans,African diaspora,Afro-Brazilian religions,Brazilians,Atlantic Coast (Me.),Black people,Brazil,Heritage tourism,Culture and tourism,Diaspora (The French word),Ethnic identity,Heritage tourism,Identity,Tourism,Tourism",0.75,0.21,0.47,0.65,14.00
"redeeming la raza : transborder modernity, race, respectability, and rights","""redeeming la raza examines the gendered and class-conscious political activism of mexican-origin people in texas from 1900 to 1950 in particular, it questions the inter-generational agency of mexicans and mexican americans who subscribed to particular race-ethnic, class, and gender ideologies as they encountered barriers and obstacles in a society that often treated mexicans as a nonwhite minority middle-class transborder activists sought to redeem the mexican masses from body politic exclusions in part by encouraging them to become identified with the nation-state redeeming la raza was as much about saving them from traditional modes of thought and practices that were perceived as hindrances to progress as it was about saving them from race and class-based forms of discrimination that were part and parcel of modernity at the center of this link between modernity and discriminatory practices based on social constructions lay the economic imperative for the abundant and inexpensive labor power that the modernization process required labeling groups of people as inferior helped to rationalize their economic exploitation in a developing modern nation-state that also professed to be a democratic society founded upon principles of political egalitarianism this book presents cases of transborder activism that demonstrate how the politics of respectability and the politics of radicalism operated, often at odds but sometimes in complementary ways""--provided by publisher",mexican americans; mexican americans; mexican americans; mexicans; transnationalism,4,"Activism, Civil rights, Class consciousness, Mexican American women, Mexican Americans, Modernization, Nation-building, Politics and government, Race relations, Social movements, Texas, Transnationalism","Activism,Civil rights,Class consciousness,Mexican American women,Mexican Americans,Comparative organization,Nation-building,Politics and government,Race relations,Social movements,Texas,Transnationalism",0.67,0.17,0.36,0.51,12.00
"the politics of national capitalism : peronism and the argentine bourgeoisie, 1946-1976","""an analysis of the social relations, political strategies and history behind capitalist economic development in latin america, with particular attention to argentina""--provided by publisher",industrial policy; business enterprises; peronism; capitalism,3,"Argentina, Bourgeoisie, Capitalism, Economic development, Economic history, Latin America, Latin America., Nationalism, Peronism, Politics and government","Argentina,Bourgeois family,Capitalism,Economic development,Economic history,Latin America,Latin America,Nationalism,Peronism,Politics and government",0.50,0.22,0.85,0.55,9.00
the improbable conquest : sixteenth-century letters from the río de la plata,"""a translation of letters written by settlers in the río de la plata region of south america during the spanish conquest in the sixteenth century""--provided by publisher",spaniards; spaniards; explorers,3,"16th century, Argentina, Colonization, Colonizers, Conquest of the Americas, History, Letters, Personal correspondence, Rio de la Plata (Argentina and Uruguay), Sixteenth-century history, South America, Spanish America, Spanish Colonization, Spanish colonies","16th century,Argentina,Colonization,Colon classification,Pre-Columbian,History,Letters,Correspondence,Río de la Plata (Argentina and Uruguay),Sixteenth century,South America,Spanish Americans,Spanish colony, 1540-1810,Spanish colony, 1565-1763",0.00,0.00,0.00,0.43,15.00
an underground community : how blacks settled in the historic village of glendale,"""how did blacks settle in the village of glendale, ohio? [in] this book, you'll learn that there were significant dedicated leaders, black and white, living in the historic village of glendale who gave their lives for freedom of a people among these 'unlikely ambassadors' were: an amazing underground railroad conductor, two local black pastors, and a teacher so significant to the movement that eckstein school, a school for black children, was named after her""--adapted from back cover",african americans; underground railroad; community life,3,"African American churches, African American women, African Americans, Freedom movements, Glendale (Ohio), Ohio, Underground Railroad","African American churches,African American women,African Americans,Freedom of movement,University of Phoenix Stadium (Glendale, Ariz.),Ohio,Underground Railroad",0.67,0.25,1.00,0.54,8.00
the archaeology of race in the northeast,"this collection of essays looks at evidence from both new sites and well-known areas to explore race, resistance and supremacy in the northeast, showing that such issues defined the social fabric of the northeast as much as in the deep south",archaeology and history; african americans; indians of north america; excavations (archaeology),3,"Archaeology, Colonialism, Cultural identity, Excavations (Archaeology), Northeastern States, Power (Social sciences), Prejudice, Racial relations, Racism, Slavery, Social classes, Social justice","Archaeology,Colonial influence,Cultural awareness,Excavations (Archaeology),Northeastern States,Power (Social sciences),Prejudices,Race relations,Racism,Slavery,Social classes,Social justice",0.25,0.08,0.63,0.45,12.00
life in a california mission,"discusses the history of california missions, their dual purpose of converting people to catholicism and consolidating spanish territory, and the daily life of friars and natives","missions, spanish; indians of north america",2,"California, California History, Catholic Church, Indians of North America, Missionaries, Missions, Spanish America, Spanish colonies","California,California Current,Catholic Church,Indians of North America,Missionaries,Missions,Spanish Americans,Spanish colony, 1565-1763",0.67,0.22,0.61,0.56,9.00
the white house,"a simple introduction to the white house, including its history, designer, construction, location, and importance as a symbol of the united states",presidents,1,"Architecture, D.C.), Executive departments, Government buildings, Government facilities, Government offices, History, Landmarks., Presidential residences, Presidents, Public buildings, Symbols of the United States, United States, Washington (D.C.), Washington D.C., White House (Washington","Architecture,Ninety Six (S.C.),Executive departments,Public buildings,Facilities,Offices,History,Landmark,Official residences,Presidents,Public buildings,Logos (Symbols),United States,Washington (D.C.),Washington (D.C.),White House (Washington, D.C.)",1.00,0.07,0.28,0.38,15.00
pocahontas and the english boys : caught between cultures in early virginia,"""pocahontas and the english boys"" explores the culture of early virginia""--provided by publisher",powhatan indians,3,"1596-1617, 1607-1776, Colonies, Colonization, Cross-cultural relations, English, English Colonies, Indians of North America, Interpersonal relationships, Native Americans, Pocahontas, Powhatan, Virginia, Women pioneers","1556-1598,1617-1776,Colonies,Colonization,Cultural relations,English,Colonies,Indians of North America,Interpersonal relations,Native American . . .,Mahonia,Powhatan Indians,Virginia,Women pioneers",1.00,0.08,0.33,0.35,13.00
butch cassidy and other mormon outlaws of the old west,among the outlaws of the old west were a fair number of mormons find out the who's who of mormon outlaws -- what they did and where they hid -- and get a peek at the mormon lawmen who dedicated their lives to pursuing them,outlaws; peace officers; mormons; crime; frontier and pioneer life,3,"American West, Bandits, Crime, Frontier and pioneer life, Law enforcement, Lawmen, Mormon outlaws, Mormon pioneers, Old West., Outlaws, Robbery, Utah, Western United States, Western United States History","West (U.S.),Wild men,Crime,Frontier and pioneer life,Law enforcement,Legalmen,Mormon pioneers,Mormon pioneers,Middle West,Outlaws,Robbery,Utah,West (U.S.),Great Western Divide",0.60,0.25,0.80,0.62,12.00
"the wilderness road, 1775","discusses colonial america's need for a route to the west, how the wilderness road developed, early explorers and settlements along its path, and the impact it had on western expansion",frontier and pioneer life; frontier and pioneer life; frontier and pioneer life,2,"1600-1775, Colonial period, Exploration and discovery, Frontier and pioneer life, History, Roads, Trails and roads, Transportation history, United States, Virginia, West United States","To 1775,Colonial influence,Discovery and exploration,Frontier and pioneer life,History,Roads,Trails,20th Century Limited (Express train),United States,Virginia,West (U.S.)",1.00,0.09,0.63,0.34,11.00
consuming identities : visual culture in nineteenth-century san francisco,"""consuming identities restores the california gold rush to its rightful place as the first pivotal chapter in the american history of photography, and uncovers nineteenth-century san francisco's position in the vanguard of modern visual culture""-- provided by publisher",photography,3,"1848-1855, American West, California, Cultural identity, Gold Rush, Mass media, Material culture, Nineteenth-century photography, Photography, Regionalism, San Francisco, Visual culture, Visual identity","1848-1871,West (U.S.),California,Cultural awareness,Gold theft,Mass media,Material culture,Eighteenth century in motion pictures,Photography,Regionalism,San Francisco,Visual sociology,Face perception",1.00,0.08,1.00,0.31,13.00
mayan writing in mesoamerica,"explores the development and use of written languages among the ancient mayan people, who lived in an area comprised of mexico, central america, and part of south america known as mesoamerica",mayan languages,2,"Ancient civilizations, Ancient writing systems, Maya civilization., Mayan language, Mayan writing, Mesoamerica, Mesoamerican languages, Writing, Writing systems","Civilization, Ancient,Letter writing, Greek (Modern),Mayan,Mayan languages,Mayan literature,Myrica,Uto-Aztecan languages,Writing,Writing systems",1.00,0.09,0.43,0.46,11.00
sacagawea : journey into the west,a biography in graphic format of the shoshoni woman who served as guide and interpreter for the lewis and clark expedition,shoshoni women; shoshoni indians,3,"American West History, Biography, Expeditionary Forces., Explorers, Frontier and Pioneer Life, Geographic Exploration, Lewis and Clark Expedition, Native American Women, Shoshone Indians, Shoshoni Indians, United States History, Women Explorers, Women Pioneers","Great Western Divide,Biography,Infantry,Explorers,Frontier and pioneer life,Geography projects,Lewis and Clark National Historic Trail,Indigenous women,Shoshoni Indians,Shoshoni Indians,Founding Fathers of the United States,Women explorers,Women pioneers",0.50,0.08,0.27,0.33,12.00
"here and there : leaving hasidism, keeping my family","""a heartfelt and inspiring personal account of a woman raised as a lubavitcher hasid who leaves that world without leaving the family that remains within it""-- provided by publisher",jewish women; habad,3,"Conversion to Christianity (no)  Women and Hasidism, Family secrets, Hasidism, Identity (Philosophical concept), Jewish families, Jewish identity, Jewish women, Jewish women's studies, Judaism, Leaving the faith, Orthodox Judaism, Personal narratives, Spiritual identity, Ultra-Orthodox women","Women in Christianity,Family secrets,Hasidism,Identity (Philosophical concept),Jewish families,Older Jews,Jewish women,Women Jewish scholars,Judaism,Faith,Orthodox Judaism,Personal narratives,Religious identity,Ultra-Orthodox Jewish women",0.50,0.07,0.26,0.52,14.00
women in cuba : the making of a revolution within the revolution,"the social revolution that in 1959 brought down the bloody batista dictatorship began in the streets of cities like santiago de cuba and the rebel army's liberated mountain zones of eastern cuba the unprecedented integration of women in the ranks and leadership of this struggle was a true measure of the revolutionary course it has followed to this day here, in firsthand accounts by women who helped make it, is the story of that revolution--and 'the revolution within-- publisher information",women revolutionaries; women; women,3,"1953-1959, 1959, Batista, Communist revolution, Cuba, Feminism, Fulgencio, Revolution, Revolutionaries, Social change, Women, Women in politics, Women's rights","1953-1964,1959-,Ballista,Anti-communist movements,Cuba,Feminism,Calliope,Revolutions,Revolutionaries,Social change,Women,Women political activists,Women's rights",0.50,0.08,0.27,0.46,13.00
"the politics of modern central america : civil war, democratization, and underdevelopment","""this book analyzes the origins and consequences of civil war in central america fabrice lehoucq explains why the inability of autocracies to reform led to the civil wars of the 1980s and why violent conflict led to the unexpected transition to non-military governments in the 1990s he examines why economic stagnation throughout much of the region, along with unevenness of political reform, has limited democratization this book also uses these developments to shed light on core debates in comparative politics, suggesting that more progress has been made in understanding the persistence of inequality than in identifying the causes of civil war""-- provided by publisher",civil war,3,"Autocracy, Central America, Civil War, Comparative politics, Democratization, Economic stagnation, Elites (Social sciences), Guatemala, Honduras, Inequality., Nicaragua, Political reform, Underdevelopment","Discretion,Central America,Civil war,Political aspects,Democratization,Stagnation (Economics),Elite (Social sciences),Guatemala,Honduras,Numeracy,Nicaragua,Reform,Human growth",1.00,0.08,0.33,0.32,13.00
"death of a gunfighter : the quest for jack slade, the west's most elusive legend","the true story of one of the old west's greatest heroes, jack slade",outlaws; pony express; frontier and pioneer life,2,"American Frontier, Frontiersmen, Jack, Mountain men, Outlaws, Pioneers, Robbers and outlaws, Slade, West (U.S.) History, Western United States, Wyoming history","Frontier and pioneer life,Frontier workers,Jack (Name),Mountain people,Outlaws,Pioneers,Outlaws in popular culture,Slade family,West (U.S.),West (U.S.),Wyoming Centennial Day, 1990",0.67,0.18,0.45,0.52,11.00
the slave master of trinidad : william hardin burnley and the nineteenth-century atlantic world / selwyn r cudjoe,"""william hardin burnley (1780-1850) was the largest slave owner in trinidad during the nineteenth century born in the united states to english parents, he settled on the island in 1802 and became one of its most influential citizens and a prominent agent of the british empire a central figure among elite and moneyed transnational slave owners, burnley moved easily through the atlantic world of the caribbean, the united states, great britain, and europe, and counted among his friends alexis de tocqueville, british politician joseph hume, and prime minister william gladstone in this first full-length biography of burnley, selwyn r cudjoe chronicles the life of trinidad's ""founding father"" and sketches the social and cultural milieu in which he lived reexamining the decades of transition from slavery to freedom through the lens of burnley's life, the slave master of trinidad demonstrates that the legacies of slavery persisted in the new post-emancipation society""-- provided by publisher",slaveholders; slavery,3,"1780-1850, Atlantic Ocean, Biography, British colonies, Burnley, Caribbean Area, Plantation owners, Slave trade, Slavery, Trinidad and Tobago, Wealth, William Hardin","1783-1850,Atlantic Ocean,Biography,Colonies,Stansted,Caribbean Area,Plantation owners,Slave trade,Slavery,Trinidad and Tobago,Wealth,Edward P. Evans Hall (New Haven, Conn.)",0.50,0.08,0.63,0.38,13.00
"a space for race : decoding issues of racism, multiculturalism and post-colonialism in the quest for belonging","""who belongs? who doesn't? why? with this book authors explore the impact of unquestioned racial assumptions in the canadian narrative which have constructed an insider/outsider culture from that baseline, authors then develop an analytic designed to move beyond racialized othering to a society of genuine inclusivity and universal belonging""-- provided by publisher",racism; multiculturalism; postcolonialism,4,"Belonging (Psychology), Belonging (Social psychology), Canadian culture, Cultural pluralism, Diversity, Identity (Social psychology), Intergroup relations, Multiculturalism, Postcolonialism, Racial identity, Racism, Social cohesion, Social justice, Xenophobia","Belonging (Social psychology),Belonging (Social psychology),Canadian influences,Cultural pluralism,Diversity systems,Identity (Psychology),Intergroup relations,Multiculturalism,Postcolonialism,Race identity,Racism,Social stability,Social justice,Xenophobia",1.00,0.23,0.40,0.56,13.00
harlem : the four hundred year history from dutch village to capital of black america,"harlem is perhaps the most famous, iconic neighborhood in the united states a bastion of freedom and the capital of black america, harlem's twentieth century renaissance changed our arts, culture, and politics forever but this is only one of the many chapters in its history in this work the author, a historian presents a chronicle of this remarkable place from henry hudson's first contact with native harlemites, through harlem's years as a colonial outpost on the edge of the known world, he traces the neighborhood's story, marshaling a wealth of detail and a host of figures from george washington to langston hughes harlem was an agricultural center under british rule and the site of a key early battle in the revolutionary war later, wealthy elites including alexander hamilton built great estates there for entertainment and respite from the epidemics ravaging downtown in the nineteenth century, transportation urbanized harlem and brought waves of immigrants from germany, italy, ireland, and elsewhere harlem's mix of cultures, extraordinary wealth and extreme poverty was electrifying and explosive this work is the history of the manhattan neighborhood of harlem, beginning with hudson's first experiences in the area, through its early growth as a dutch village and colonial agricultural center, to its transformation into a modern neighborhood",african americans,3,"African Americans, Colonial period, Ethnic neighborhoods, Harlem (New York, History, N.Y.), New York (N.Y.), United States, Urban renewal, ca. 1600-1775","African Americans,Colonial influence,Ethnic neighborhoods,Harlem (New York, N.Y.),History,Confirmation,New York (N.Y.),United States,Urban renewal,Colonial period, ca. 1600-1775",1.00,0.08,0.50,0.34,12.00
junipero jose serra,traces the life of the spanish explorer and missionary who travelled to mexico and california to teach the indians about christianity and who established nine missions along the california coast,explorers; explorers; indians of north america,2,"1713-1784, California, Christianity and culture, Explorers, Junípero, Missionaries, Missions, Serra, Spanish","1688-1713,California,Christianity and culture,Explorers,Junipers,Missionaries,Missions,Donax serra,Spanish",0.50,0.11,0.33,0.38,9.00
the many rides of paul revere,"paul revere is commonly remembered as a revolutionary war hero for his legendary midnight ride before the 1775 battes of lexington and concord but revere was also a famed silversmith, a practicing dentist, a resourceful entrepreneur, and an engraver of cartoons and paper money this biography traces revere's life from his humble beginnings as a french immigrant's son to his determined support of the rebel cause in the stormy years leading up to the american revolution",statesmen,2,"1735-1818, Artisans, Cartoonists, Dentists, Engravers, Entrepreneurs, Immigrants, Massachusetts, Patriots, Paul, Revere, Revolutionaries, Silversmiths, United States, United States History 1763-1783","1735-1816,Artisans,Cartoonists,Dentists,Engravers,Entrepreneurship,Immigrants,Massachusetts,Patriots' Day,McCartney, Paul,Ténéré,Revolutionaries,Silversmiths,United States,1763-1796",0.00,0.00,0.00,0.28,16.00
making rocky mountain national park : the environmental history of an american treasure,"""on september 4, 1915, hundreds of people gathered in estes park, colorado, to celebrate the creation of rocky mountain national park this new nature preserve held the promise of peace, solitude, and rapture that many city dwellers craved as jerry frank demonstrates, however, the park is much more than a lovely place rocky mountain national park was a keystone in broader efforts to create the national park service, and its history tells us a great deal about colorado, tourism, and ecology in the american west to frank, the tensions between tourism and ecology have played out across a natural stage that is anything but passive at nearly every turn the national park service found itself face-to-face with an environment that was difficult to anticipate--and impossible to control frank first takes readers back to the late nineteenth century, when colorado boosters--already touting the rocky mountains' restorative power for lung patients--set out to attract more tourists and generate revenue for the state he then describes how an ecological perspective came to rocky in fits and starts, offering a new way of imagining the park that did not sit comfortably with an entrenched management paradigm devoted to visitor recreation and comfort frank examines a wide range of popular activities including driving, hiking, skiing, fishing, and wildlife viewing to consider how they have impacted the park's flora and fauna, often leaving widespread transformation in their wake he subjects the decisions of park officials to close but evenhanded scrutiny, showing how in their zeal to return the park to what they understood as its natural state, they have tinkered with its features--sometimes with less than desirable results today's rocky mountain national park serves both competing visions, maintaining accessible roads and vistas for the convenience of tourists while guarding its backcountry to preserve ecological values as the park prepares to celebrate its centennial, frank's book advances our understanding of its past while also providing an important touchstone for addressing its problems in the present and future""-- provided by publisher ""challenging the view that national parks are sanctuaries separate from human-built society, frank's environmental history of colorado's iconic rocky mountain national park reveals how nature was constructed to accommodate consumerism yet still plays an unplanned role in visitors' experiences the reader learns not only what changes were made but also why they occurred, with much of the park's history understandable as a contest between tourism and ecology vying to impose their competing models""-- provided by publisher",tourism; nature,3,"Colorado, Conservation efforts, Ecotourism, Environmental impact, Environmental protection, National parks and reserves, Recreation areas, Rocky Mountains, Tourism, United States","Colorado,Conservation projects (Natural resources),Ecotourism,Environmental impact analysis,Environmental protection,National parks and reserves,Recreation areas,Rocky Mountains,Tourism,United States",0.50,0.10,0.33,0.44,10.00
"the sacred headwaters : the fight to save the stikine, skeena, and nass","""in a rugged knot of mountains in northern british columbia lies a spectacular valley known to the first nations as the sacred headwaters there, three of canada's most important salmon rivers - the stikine, the skeena, and the nass - are born in close proximity now, against the wishes of all first nations, the british columbia government has opened the sacred headwaters to industrial development imperial metals proposes an open-pit copper and gold mine, called the red chris mine, and royal dutch shell wants to extract coal bed methane gas across a tenure of close to a million acres in the sacred headwaters, a collection of photographs by carr clifton and members of the international league of conservation photographers - including claudio contreras, paul colangelo, and wade davis - portray the splendour of the region these photographs are supplemented by images from other professionals who have worked here, including sarah leen of the national geographic the compelling text by wade davis, which describes the region's beauty, the threats to it, and the response of native groups and other inhabitants, is complemented by the voices of the tahltan elders the inescapable message is that no amount of methane gas can compensate for the sacrifice of a place that could be the sacred headwaters of all canadians and indeed of all peoples of the world""--pub desc",environmental protection; environmental protection; environmental protection; indians of north america,3,"British Columbia, Canada, Coalbed methane, Environmental impact, Environmental protection, Indigenous peoples, Mining, Natural resources, Northern British Columbia, Open-pit mining, Salmon fisheries, Salmon rivers","British Columbia,Canada,Coalbed methane,Environmental impact analysis,Environmental protection,Indigenous peoples,Gold mining,Natural resources,British Columbia, Northern,Borehole mining,Salmon fisheries,Salmon River",0.50,0.08,0.63,0.40,12.00
"immigrant and entrepreneur : the atlantic world of caspar wistar, 1650-1750","""examines the life of 18th century german immigrant and businessman caspar wistar reevaluates the modern understanding of the entrepreneurial ideal and the immigrant experience in the colonial era""--provided by publisher",germans; immigrants; merchants; immigrants,3,"Atlantic History, Atlantic Ocean Region, Businessmen, Capitalists and financiers, Colonial Period, Colonial period, Entrepreneurship, German Americans, Immigration and colonization, Pennsylvania, Pennsylvania History, Social mobility., ca. 1600-1775","Transatlantic voyages,Atlantic Ocean Region,Businessmen,Capitalists and financiers,Colonial influence,Colonial influence,Entrepreneurship,German Americans,Colonization,Pennsylvania,Pennsylvania,Social mobility,Colonial period, ca. 1600-1775",0.00,0.00,0.00,0.39,12.00
tools and treasures of the ancient maya,"""do you use a calendar? have you ever played basketball? these things were important to the ancient mayans too about four thousand years ago, they invented tools and treasures that still shape our lives find out where and how the mayans lived, and learn about their mysterious disappearance discover how they changed the world!""-- provided by publisher",mayas,3,"Ancient Mesoamerican society, Ancient Mesoamerican technology, Archaeological sites, Maya art, Maya calendar, Maya civilization, Mesoamerica, Mesoamerican architecture, Mesoamerican history, Pre-Columbian art","Demographic archaeology,Engineering, Prehistoric,Archaeological sites,Maya art,Maya calendar,Mayan,Myrica,Mexican American architecture,Parque Nacional Interoceánico de las Américas,Chiricahua painting",0.00,0.00,0.00,0.47,11.00
"slave revolution in the caribbean, 1789-1804 : a brief history with documents","this volume details the first slave rebellion to have a successful outcome, leading to the establishment of haiti as a free black republic and paving the way for the emancipation of slaves in the rest of the french empire and the world incited by the french revolution, the enslaved inhabitants of the french caribbean began a series of revolts, and in 1791 plantation workers in haiti, then known as saint-domingue, overwhelmed their planter owners and began to take control of the island they achieved emancipation in 1794, and after successfully opposing napoleonic forces eight years later, emerged as part of an independent nation in 1804 a broad selection of documents, all newly translated by the authors, is contextualized by a thorough introduction considering the very latest scholarship laurent dubois and john d garrigus clarify for students the complex political, economic, and racial issues surrounding the revolution and its reverberations worldwide useful pedagogical tools include maps, illustrations, a chronology, and a selected bibliography--publisher description",slave insurrections,3,"1791-1804, Caribbean Area, Caribbean History, Emancipation, French Colonies, French Revolution, Haiti, Haitian, History, Plantation owners, Plantations, Racially mixed people, Revolutions, Saint-Domingue, Slavery, Slaves","1791-1804,Caribbean Area,Caribbean influences,Emancipation,Colonies,French Revolution Bicentennial, 1989,Haiti,Haitians,History,Plantation owners,Plantations,Older white people,Revolutions,Saint Dominic's Day,Slavery,Fugitive slaves",0.00,0.00,0.00,0.38,17.00
guerrillas : war and peace in central america,"three parallel wars were fought in the latter half of the 20th century in el salvador, guatemala and nicaragua these wars were long and brutal, dividing international opinion sharply between us support for dictatorial regimes and the ussr's sponsorship of guerilla fighters this book examines this topic",guerrillas,3,"1945-1991, Central America, Cold War, Counterinsurgency, Dictatorship, El Salvador, Guatemala, Guerrilla warfare, History, Insurgency, Latin America, Military aid, Military intervention, Nicaragua, Revolution","1945-1991,Central America,Cold War,Counterinsurgency,Dictatorship,El Salvador,Guatemala,Guerrilla warfare,History,Insurgency,Latin America,Military assistance,Military policy,Nicaragua,Revolutions",0.00,0.00,0.00,0.39,15.00
diana of the dunes : the true story of alice gray,"in the fall of 1915, alice gray traded her life in chicago for a solitary journey in the remote sand hills of northwest indiana along lake michigan her audacity so bewitched reporters and a curious public that she became a legend in her own time-- ""diana of the dunes""",women; women hermits,3,"Dunes (Geological formations), Frontier and pioneer life, History, Indiana, Lake Michigan, Regionalism (American literature), Solo travelers, Women adventurers, Women pioneers, Women travelers","Buzz-Cut Dune Site,Frontier and pioneer life,History,Indiana,Michigan, Lake,Regionalism in literature,Travelers,Women adventurers,Women pioneers,Women travelers",0.00,0.00,0.00,0.32,11.00
