title,abstract,lcsh_subject_headings,Predicted_Label_Count,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
harlem : the four hundred year history from dutch village to capital of black america,"harlem is perhaps the most famous, iconic neighborhood in the united states a bastion of freedom and the capital of black america, harlem's twentieth century renaissance changed our arts, culture, and politics forever but this is only one of the many chapters in its history in this work the author, a historian presents a chronicle of this remarkable place from henry hudson's first contact with native harlemites, through harlem's years as a colonial outpost on the edge of the known world, he traces the neighborhood's story, marshaling a wealth of detail and a host of figures from george washington to langston hughes harlem was an agricultural center under british rule and the site of a key early battle in the revolutionary war later, wealthy elites including alexander hamilton built great estates there for entertainment and respite from the epidemics ravaging downtown in the nineteenth century, transportation urbanized harlem and brought waves of immigrants from germany, italy, ireland, and elsewhere harlem's mix of cultures, extraordinary wealth and extreme poverty was electrifying and explosive this work is the history of the manhattan neighborhood of harlem, beginning with hudson's first experiences in the area, through its early growth as a dutch village and colonial agricultural center, to its transformation into a modern neighborhood",african americans,3,"African American arts, African American culture, African American neighborhoods, African Americans, Alexander Hamilton, Art movements, Colonial cities, Dutch colonies, Emancipation, Ethnic neighborhoods, Gentrification, George Washington, Harlem (New York, Harlem Renaissance, Henry Hudson, History, Immigration and migration, Langston Hughes, Manhattan (New York, N.Y.), New York (, New York (N.Y.), New York (N.Y.) History, New York (N.Y.) Social conditions, New York (State), Slavery, Urban culture, Urban planning, Urban renewal","African American arts,African American influences,African American neighborhoods,African Americans,Hamilton (Name),Art movements,Colonial cities,Dutch influences,Emancipation,Ethnic neighborhoods,Gentrification,Washington's Birthday,Harlem (New York, N.Y.),Harlem Renaissance,Henry W. Poor House (New York, N.Y.),History,Emigration and immigration,Porter,Manhattan (New York, N.Y.),Confirmation,New York,New York (N.Y.),Great Fire, New York, N.Y., 1776,New York State Social Studies Test,New York (State),Slavery,Urbanization,City planning,Urban renewal",1.00,0.03,0.21,0.30,32.00
junipero jose serra,traces the life of the spanish explorer and missionary who travelled to mexico and california to teach the indians about christianity and who established nine missions along the california coast,explorers; explorers; indians of north america,2,"1713-1784, 18th Century History, California, California Coast, California Colonization, California Culture, California History, California Indians, California Missionaries, California Missions, Californio, Christianity, Christianity in California, Colonial California, Conversion to Christianity, Franciscan Missionaries, Franciscans, Indigenous peoples, Junipero Serra, Junípero, Mexico, Missionaries, Missionaries in California, Missionaries of the California Missions, Missionary Work, Missions, Native Americans, Padre Serra, Roman Catholic Church, Serra, Spanish Colonial Period, Spanish Colonization, Spanish Explorers, Spanish Missions, Spanish Rule in California","1688-1713,18th century,California,Pacific Coast,Colonists,California style,California Current,Calusa Indians,Missionaries,Missions, American,Calonarang,Christianity,Christian conservatism,Washington Territory,Conversion to Christianity,Franciscans,Franciscans,Indigenous peoples,Serratia,Junipers,Mexico,Missionaries,Missionaries,Missions to Latter Day Saints,Youth in missionary work,Missions,Native American . . .,Donax serra,Catholic Church,Donax serra,Spanish colony, 1565-1763,Spanish colony, 1540-1810,Chronology, Spanish,Missions, Spanish,Spanish Sign Language",0.00,0.00,0.00,0.32,32.00
the many rides of paul revere,"paul revere is commonly remembered as a revolutionary war hero for his legendary midnight ride before the 1775 battes of lexington and concord but revere was also a famed silversmith, a practicing dentist, a resourceful entrepreneur, and an engraver of cartoons and paper money this biography traces revere's life from his humble beginnings as a french immigrant's son to his determined support of the rebel cause in the stormy years leading up to the american revolution",statesmen,2,"1600-1776, 1735-1818, American Patriots, American Revolution, American colonies, Battles of Lexington and Concord, Biography, Boston, Cartoons, Colonial America, Colonial administration, Colonial life, Dentistry, Dentists, Engravers, Engraving, Entrepreneurs, French Americans, History, Immigrants, Lexington and Concord, Massachusetts, Massachusetts Bay Colony, Midnight ride, New England, Paper money, Patriots, Paul, Paul Revere, Printmaking, Rebellion, Revere, Revolutionaries, Silversmiths, Silverwork, United States","1776-1810,1735-1816,Patriots' Day,Revolution, 1986,Colonies,Concord, Battle of, Concord, Mass., 1775,Biography,Boston,Cartoons and children,Colonial question,Colonial administrators,Colonial influence,Dentistry,Dentists,Engravers,Engraving,Entrepreneurship,French Americans,History,Immigrants,Concord (Mass.),Massachusetts,Massachusetts Bay,Highway One,New England,Paper money,Patriots' Day,McCartney, Paul,McCartney, Paul,Printing,Rebellion, 1971,Ténéré,Revolutionaries,Silversmiths,Silverwork,United States",0.00,0.00,0.00,0.27,40.00
making rocky mountain national park : the environmental history of an american treasure,"""on september 4, 1915, hundreds of people gathered in estes park, colorado, to celebrate the creation of rocky mountain national park this new nature preserve held the promise of peace, solitude, and rapture that many city dwellers craved as jerry frank demonstrates, however, the park is much more than a lovely place rocky mountain national park was a keystone in broader efforts to create the national park service, and its history tells us a great deal about colorado, tourism, and ecology in the american west to frank, the tensions between tourism and ecology have played out across a natural stage that is anything but passive at nearly every turn the national park service found itself face-to-face with an environment that was difficult to anticipate--and impossible to control frank first takes readers back to the late nineteenth century, when colorado boosters--already touting the rocky mountains' restorative power for lung patients--set out to attract more tourists and generate revenue for the state he then describes how an ecological perspective came to rocky in fits and starts, offering a new way of imagining the park that did not sit comfortably with an entrenched management paradigm devoted to visitor recreation and comfort frank examines a wide range of popular activities including driving, hiking, skiing, fishing, and wildlife viewing to consider how they have impacted the park's flora and fauna, often leaving widespread transformation in their wake he subjects the decisions of park officials to close but evenhanded scrutiny, showing how in their zeal to return the park to what they understood as its natural state, they have tinkered with its features--sometimes with less than desirable results today's rocky mountain national park serves both competing visions, maintaining accessible roads and vistas for the convenience of tourists while guarding its backcountry to preserve ecological values as the park prepares to celebrate its centennial, frank's book advances our understanding of its past while also providing an important touchstone for addressing its problems in the present and future""-- provided by publisher ""challenging the view that national parks are sanctuaries separate from human-built society, frank's environmental history of colorado's iconic rocky mountain national park reveals how nature was constructed to accommodate consumerism yet still plays an unplanned role in visitors' experiences the reader learns not only what changes were made but also why they occurred, with much of the park's history understandable as a contest between tourism and ecology vying to impose their competing models""-- provided by publisher",tourism; nature,3,"American West, Colorado, Conservation biology, Ecological disturbances, Ecological restoration, Ecotourism, Environmental conservation, Environmental degradation, Environmental history, Environmental impact analysis, Environmental impact of recreation, Human activities, Human ecology, Human impact on the environment, Human-nature relationships, Land use, Landscape ecology, National parks and reserves, Natural areas management, Natural resources, Nature, Nature conservation, Protected areas, Recreation, Rocky Mountain National Park (Colo.), Sustainable tourism, Tourism, West (U.S.), Wildlife management","West (U.S.),Colorado,Conservation biology,Ecological disturbances,Restoration ecology,Ecotourism,Nature conservation,Environmental degradation,Environmental archaeology,Environmental impact analysis,Outdoor recreation,Recreational activities,Human ecology,Effect of environment on,Free association (Psychology),Land use,Landscape ecology,National parks and reserves,Natural resources management areas,Natural resources,Nature,Nature conservation,Protected areas,Recreation,Rocky Mountain National Park (Colo.),Sustainable tourism,Tourism,West (U.S.),Wildlife management",1.00,0.07,0.34,0.46,27.00
"the sacred headwaters : the fight to save the stikine, skeena, and nass","""in a rugged knot of mountains in northern british columbia lies a spectacular valley known to the first nations as the sacred headwaters there, three of canada's most important salmon rivers - the stikine, the skeena, and the nass - are born in close proximity now, against the wishes of all first nations, the british columbia government has opened the sacred headwaters to industrial development imperial metals proposes an open-pit copper and gold mine, called the red chris mine, and royal dutch shell wants to extract coal bed methane gas across a tenure of close to a million acres in the sacred headwaters, a collection of photographs by carr clifton and members of the international league of conservation photographers - including claudio contreras, paul colangelo, and wade davis - portray the splendour of the region these photographs are supplemented by images from other professionals who have worked here, including sarah leen of the national geographic the compelling text by wade davis, which describes the region's beauty, the threats to it, and the response of native groups and other inhabitants, is complemented by the voices of the tahltan elders the inescapable message is that no amount of methane gas can compensate for the sacrifice of a place that could be the sacred headwaters of all canadians and indeed of all peoples of the world""--pub desc",environmental protection; environmental protection; environmental protection; indians of north america,3,"British Columbia, Canada, Coal mining, Copper mines and mining, Environmental impact, Environmental impact statements, Environmental protection, First Nations, Gold mines and mining, Industrial development, Mineral industries, Mining law, Mountain regions, Native peoples, Natural gas, Northern British Columbia, Open pit mining, Petroleum industry, Photographers, Photographs, Place conservation, Protected areas, Public lands, Sacred sites, Salmon rivers, Tahltan Indians, Tourism, Wildlife conservation, World heritage areas.","British Columbia,Canada,Coal mining,Copper mines and mining,Environmental impact analysis,Environmental impact statements,Environmental protection,United Nations,Gold mines and mining,Industrial development projects,Mineral industries,Mining law,Squam Mountains,Native American . . .,Natural gas,British Columbia, Northern,Borehole mining,Petroleum industry,Photographers,Photographs,Tourism landscapes,Protected areas,Public lands,Christian shrines,Salmon River,Tahltan Indians,Tourism,Wildlife conservation,World heritage areas",0.50,0.03,0.20,0.36,29.00
"immigrant and entrepreneur : the atlantic world of caspar wistar, 1650-1750","""examines the life of 18th century german immigrant and businessman caspar wistar reevaluates the modern understanding of the entrepreneurial ideal and the immigrant experience in the colonial era""--provided by publisher",germans; immigrants; merchants; immigrants,3,"1600-1775, 18th century, Atlantic Ocean, Businessmen, Colonial administration, Colonial frontier, Colonial life, Colonial period, Colonialism, Economic conditions, Entrepreneurship, Europe, Family, German Americans, Germans, Germany, History, Immigrants, Immigration and emigration, Landowners, Pennsylvania, Pennsylvania History, Pennsylvania., Philadelphia (Pa.), Social classes, Social conditions","To 1775,18th century,Atlantic Ocean,Businessmen,Colonial administrators,Settler colonialism,Colonial influence,Colonial influence,Colonial influence,Economic conditions,Entrepreneurship,Europe,Family,German Americans,Germans,Germany,History,Immigrants,Emigration and immigration,Landowners,Pennsylvania,Pennsylvania,Pennsylvania,Philadelphia (Pa.),Social classes,Social conditions",0.67,0.09,0.32,0.47,22.00
tools and treasures of the ancient maya,"""do you use a calendar? have you ever played basketball? these things were important to the ancient mayans too about four thousand years ago, they invented tools and treasures that still shape our lives find out where and how the mayans lived, and learn about their mysterious disappearance discover how they changed the world!""-- provided by publisher",mayas,3,"Ancient Mesoamerican technology, Archaeological sites, Art, Astronomy, Belize, Bur, Calendar systems, Central America, Ceramics, Ceremonies, Commerce, Costa Rica, Deities, Economy, El Salvador, Guatemala, Hieroglyphics, Honduras, Iconography, Mathematics, Maya architecture, Maya civilization, Maya mythology, Mayan gods, Mayan language, Mesoamerica, Mesoamerican calendar, Mexico, Nicaragua, Palaces, Politics, Pottery, Pre-Columbian peoples, Rituals, Sculpture, Social structure, Temples, Textiles, Tombs, Trade, Warfare, Writing systems","Engineering, Prehistoric,Archaeological sites,Art,Astronomy,Belize,Burl,Calendars,Central America,Ceramics,Naming ceremonies,Commerce,Costa Rica,Gods,Economics,El Salvador,Guatemala,Hieroglyphics,Honduras,Iconography,Mathematics,Maya architecture,Mayan,Maya mythology,Maya gods,Mayan languages,Myrica,Aztec calendar,Mexico,Nicaragua,Palaces,Politics and government,Pottery,Pre-Columbian,Rituals,Sculpture,Social structure,Temples,Textile fabrics,Tombs,Trade (Game),Warfare,Writing systems",0.00,0.00,0.00,0.36,43.00
"slave revolution in the caribbean, 1789-1804 : a brief history with documents","this volume details the first slave rebellion to have a successful outcome, leading to the establishment of haiti as a free black republic and paving the way for the emancipation of slaves in the rest of the french empire and the world incited by the french revolution, the enslaved inhabitants of the french caribbean began a series of revolts, and in 1791 plantation workers in haiti, then known as saint-domingue, overwhelmed their planter owners and began to take control of the island they achieved emancipation in 1794, and after successfully opposing napoleonic forces eight years later, emerged as part of an independent nation in 1804 a broad selection of documents, all newly translated by the authors, is contextualized by a thorough introduction considering the very latest scholarship laurent dubois and john d garrigus clarify for students the complex political, economic, and racial issues surrounding the revolution and its reverberations worldwide useful pedagogical tools include maps, illustrations, a chronology, and a selected bibliography--publisher description",slave insurrections,3,"African diaspora, Anti-colonial movements, Atlantic history, Black people, Caribbean Area, Caribbean History, Caribbean politics, Caribbean studies, Caribbean studies., Colonies, Emancipation, France, French colonies, French history, Haiti, Haitian history, History, History of slavery, Human rights, Imperialism, Liberation movements, Napoleon Bonaparte, Plantation life, Racial relations, Racism, Revolution, Saint-Domingue, Slave insurrections, Slave trade, Slavery, Slaves, Social movements","African diaspora,Colonial influence,Transatlantic voyages,Black people,Caribbean Area,Caribbean influences,Caribbean influences,Caribbean influences,Caribbean influences,Colonies,Emancipation,France,Colonies,French occupation, 1798-1800,Haiti,Relations with Haitians,History,Slavery,Human rights,Imperialism,National liberation movements,Notacanthus bonapartei,Plantation life,Race relations,Racism,Revolutions,Saint Dominic's Day,Slave rebellions,Slave trade,Slavery,Fugitive slaves,Social movements",0.00,0.00,0.00,0.42,28.00
guerrillas : war and peace in central america,"three parallel wars were fought in the latter half of the 20th century in el salvador, guatemala and nicaragua these wars were long and brutal, dividing international opinion sharply between us support for dictatorial regimes and the ussr's sponsorship of guerilla fighters this book examines this topic",guerrillas,3,"20th century, Americas, Authoritarianism, Central America, Civil wars, Cold War, Communist movements, Counterinsurgency, El Salvador, Guatemala, Guerrilla fighters, Guerrilla warfare, Human rights abuses, Ins, Insurgency, International relations, Latin America, Marxist revolution, Military assistance, Military intervention, Nicaragua, Refugee camps, Revolution (International law), Soviet Union, United States","20th century,North America,Authoritarianism,Central America,Civil war,Cold War,Anti-communist movements,Counterinsurgency,El Salvador,Guatemala,Guerrilla warfare,Guerrilla warfare,Human rights,Immigration enforcement,Insurgency,International relations,Latin America,Marxist criticism,Military assistance,Military policy,Nicaragua,Refugee camps,Freedom of movement (International law),Soviet Union,United States",0.00,0.00,0.00,0.34,24.00
diana of the dunes : the true story of alice gray,"in the fall of 1915, alice gray traded her life in chicago for a solitary journey in the remote sand hills of northwest indiana along lake michigan her audacity so bewitched reporters and a curious public that she became a legend in her own time-- ""diana of the dunes""",women; women hermits,3,"20th century, Adventurers, Environmentalists, Explorers, Feminism, Frontier and pioneer life, Gender roles, History, Human settlement, Indiana, Lake Michigan, Land settlement, Local history, Michigan, Midwest, Natural history, Nature conservation, Northwest Indiana, Northwestern Indiana, Outdoor life, Pioneers, Sand dunes, Settlement and suburban development, Solitude, Tourism, Travelers, United States, Wilderness survival., Women adventurers, Women pioneers, Women travelers, Women's history, Women's rights, Women's roles","20th century,Adventure and adventurers,Environmentalists,Explorers,Feminism,Frontier and pioneer life,Gender transition,History,Human settlements,Indiana,Michigan, Lake,Land settlement,Local history,Michigan,Midwestern style,Natural history,Nature conservation,Indiana, Northwest,Indiana, Northwest,Outdoor life,Pioneers,Sand dunes,Land settlement,Solitude,Tourism,Travelers,United States,Wilderness survival,Women adventurers,Women pioneers,Women travelers,Women's History Week,Women's rights,Relations with women",0.00,0.00,0.00,0.32,32.00
"multiculturalism within a bilingual framework : language, race, and belonging in canada","""from the time of its inception in canada, multiculturalism has generated varied reactions, none more starkly than between french and english canadians in this groundbreaking new work, eve haque examines the government of canada's attempt to forge a national policy of unity based on 'multiculturalism within a bilingual framework, ' a formulation that emerged out of the royal commission on bilingualism and biculturalism (1963-70) uncovering how the policies of bilingualism and multiculturalism are inextricably linked, haque investigates the ways in which they operate together as part of our contemporary national narrative to favour the language and culture of canada's two 'founding nations' at the expense of other groups haque uses previously overlooked archival material, including transcripts of royal commission hearings, memos, and reports, to reveal the conflicts underlying the emergence of this ostensibly seamless policy by integrating two important areas of scholarly concern -- the evolution and articulation of language rights in canada, and the history of multiculturalism in the country, haque provides powerful insight into ongoing asymmetries between canada's various cultural and linguistic groups""--publisher's website",multiculturalism; bilingualism; language policy; language and culture,4,"Belonging, Bilingualism, Canada, Canadian history, Canadian identity, Citizenship, Cultural pluralism, English Canadians, Ethnic groups, Exclusion, French Canadians, Governance, Identity politics, Immigration, Inclusion, Indigenous peoples, Language policy, Language rights, Multiculturalism, National identity, Nationalism, Politics and government., Postcolonialism, Public policy, Quebec (Province), Race relations, Royal Commission on Biculturalism and Bilingualism, Settler colonialism, Social justice","Belonging (Social psychology),Bilingualism,Canada,Order of Canada,Anonyms and pseudonyms, Canadian,Citizenship,Cultural pluralism,Canadians, English-speaking,Ethnic groups,Exclusions,French-Canadians,Corporate governance,Identity politics,Illegal immigration,Inclusions,Indigenous peoples,Language policy,Language policy,Multiculturalism,Identity,Nationalism,Politics and government,Postcolonialism,Public policy,Quebec (Province),Race relations,Bilingual communication in organizations,Settler colonialism,Social justice",0.75,0.10,0.48,0.45,30.00
the texas revolution and the us-mexican war : a concise history,"""this narrative history begins with the introduction of the empresario system in mexico in 1823, a system of land distribution to american farmers and ranchers in an attempt to strengthen the postwar economy following mexico's independence from spain once welcomed as fellow countrymen, the new settlers, homesteading on land destined to be called texas, were viewed as enemies when in 1835 they revolted against the government's harsh centralist rulings the final straw for both sides came when texas was granted us statehood and 11 american soldiers were ambushed and murdered as a result, congress declared war on mexico""-- provided by publisher","mexican war, 1846-1848",2,"1835-1836, 1835., 1846-1848, 19th century history, Annexation, Border disputes, Centralism, Colonization, Diplomatic relations, Empresario system, History., Independence movements, Land grants, Manifest destiny, Mexican-American War, Mexico, Mexico-US relations, Politics and government, Revolution, Slavery, Texas, Texas Revolution, US foreign relations, United States, United States-Mexico Border Region., War, Westward expansion","1835-1836,1835,1848-1849,19th century,Annexation to . . .,Border crossing,Democratic centralism,Colonization,Diplomatic etiquette,Interrogatories,History,Independence movements,Land grants,Manifest Destiny,Mexican American soldiers,Mexico,Relations with Mexican Americans,Politics and government,Revolutions,Slavery,Texas,Operation Texas Traveler, 1969,Foreign relations,United States,Mexican-American Border Region,War,East-West trade",0.00,0.00,0.00,0.41,28.00
national geographic investigates ancient inca : archaeology unlocks the secrets of the inca's past,"""shows how ancient treasures help scientists today to piece together the puzzle of the inca's past includes inca pottery, textiles, and the mummy called the ice maiden""--from source other than the library of congress",incas; excavations (archaeology); excavations (archaeology),4,"Andean archaeology, Andean cultures, Andes Region, Archaeological conservation, Archaeological excavations, Archaeological museums, Archaeological sites, Archaeology, Artifact analysis, Artifact conservation, Ceramics, Cultural heritage, Ethnographic artifacts, Ethnology, Excavations (Archaeology), Fiber arts, Historical preservation, Inca Empire, Inca art, Inca culture, Inca people, Inca pottery, Inca textiles, Indians of South America, Mummies, Museum collections, Museum exhibits, Native South Americans, Peru, Pottery, Pre-Columbian art, Pre-Columbian civilizations, South America, South American archaeology, South American history, Textiles","Paleoceanography,Sinagua culture,Andes Region,Environmental archaeology,Excavations (Archaeology),Archaeological museums and collections,Archaeological sites,Archaeology,Work sampling,Restoration and conservation,Ceramics,Heritage tourism,Critical ethnography,Ethnology,Excavations (Archaeology),Arts, Modern,Historic preservation,Incas,Inca art,Inca influences,Older Incas,Inca pottery,Inca textile fabrics,Indians of South America,Mummies,Museum archives,Museum exhibits,Indians of South America,Peru,Pottery,Chiricahua painting,Pre-Columbian,South America,Demographic archaeology,South America,Textile fabrics",1.00,0.06,0.33,0.54,34.00
latin american popular culture,"""designed as an introductory text, this book details several aspects of latin american culture as experienced by millions of people living in central and south america the author argues that despite early and considerable european influences on the region, indigenous latin american traditions still characterize much of the social and artistic heritage of the latin american countries""--provided by publisher","national characteristics, latin american",3,"Argentina, Art and society, Brazil, Candomblé, Carnaval, Catholic Church and culture, Central America, Cholo, Colombia, Colonialism, Conquest of Mexico, Cuba, Dance, Ecuador, Fiesta, Folk culture, Folk music, Guayabera, Hispanic American art, Hispanic American culture, Identity, Immigration, Indigenous peoples, Latin American culture, Latin American studies, Mexico, Music, Nationalism, Peru, Politics and culture, Portugal, Race relations, Regionalism, Religion and culture, Ritual, Samba, Social classes, South America, Spain, Sufi, Tango, Traditional medicine, Venezuela, Visual arts.","Argentina,Art and society,Brazil,Candomblé,Caridina,Catholicity,Central America,Chotscho,Colombia,Colonial influence,Chronology, Mexican,Cuba,Dance,Ecuador,Fiesta ware,Folk religion,Folk music,Guayabero Indians,Hispanic American art,Hispanic Americans in popular culture,Identity,Illegal immigration,Indigenous peoples,Latin American influences,Latin American influences,Mexico,Music,Nationalism,Peru,Politics and culture,Portugal,Race relations,Regionalism,Religion and culture,Ritual,Sambar,Social classes,South America,Spain,Sufis,Tangos,Traditional medicine,Venezuela,Graphic arts",0.00,0.00,0.00,0.38,44.00
"maya pilgrimage to ritual landscape : insights from archaeology, history, and ethnography","""pilgrimage to ritually significant places is a part of daily life in the maya world these journeys involve important social and practical concerns, such as the maintenance of food sources and world order frequent pilgrimages to ceremonial hills to pay offerings to spiritual forces for good harvests, for instance, are just as necessary for farming as planting fields why has maya pilgrimage to ritual landscapes prevailed from the distant past and why are journeys to ritual landscapes important in maya religion? how can archaeologists recognize maya pilgrimage, and how does it compare to similar behavior at ritual landscapes around the world? the author addresses these questions and others through cross-cultural comparisons, archaeological data, and ethnographic insights ""-- provided by publisher",mayas; mayas; sacred space; sacred space; pilgrims and pilgrimages; pilgrims and pilgrimages,4,"Agriculture, Ancient Mesoamerican religions, Animism, Archaeology, Belize, Central America, Ceremonial centers, Comparative religion, Cosmology, Costa Rica, Cross-cultural studies, Cultural landscape, Divination, El Salvador, Ethnography, Guatemala, Harvest festivals, Honduras, Landscape archaeology, Maya civilization, Mesoamerica, Mesoamerican studies, Nicaragua, Offerings, Panama, Pilgrimage, Pilgrims and pilgrimages, Pre-Columbian civilizations, Regionalism, Rituals, Sacred geography, Sacred sites, Sacred spaces, Sacred travel, Shamanism, South America, Southeastern Mexico, Spiritual forces, Tourism, World order","Agriculture,Archaeology and religion,Animism,Archaeology,Belize,Central America,Ceremonial exchange,Dualism (Religion),Cosmology,Costa Rica,Cross-cultural studies,Cultural landscapes,Divination,El Salvador,Ethnology,Guatemala,Harvest festivals,Honduras,Landscape archaeology,Mayan,Myrica,Demographic archaeology,Nicaragua,Waiting lists,Panama,Farewell pilgrimage,Pilgrims and pilgrimages,Pre-Columbian,Regionalism,Rituals,Religion and geography,Christian shrines,Sacred space,Sacred space,Shamanism,South America,Mexico, Southeast,Spiritual formation,Tourism,Conspiracies",0.67,0.05,0.28,0.42,40.00
"the oregon trail : from independence, missouri, to oregon city, oregon",describes the oregon trail and the pioneers who settled in the pacific northwest,overland journeys to the pacific; pioneers; frontier and pioneer life; frontier and pioneer life,2,"19th Century American History, 19th Century History, American, American Frontier, American West, American West History, Emigration and Immigration, Expeditions, Exploration, Exploration and Discovery, Frontier and Pioneer Life, Geography, History, Immigration and Emigration, Land Settlement, Maps, Migration, Missouri History, Oregon Territory, Oregon Trail, Overland Journeys, Overland Journeys to the Pacific, Pacific Northwest History, Pacific Northwest Region, Pioneer Life, Pioneers, Settlement and Subsidence, Settlements, Trails, Transportation, Travel, United States History","Nineteenth century,19th century,American,Frontier and pioneer life,West (U.S.),Great Western Divide,Emigration and immigration,Scientific expeditions,Exploration,Discovery and exploration,Frontier and pioneer life,Geography,History,Emigration and immigration,Land settlement,Maps,Migration,Missouri Breaks,Oregon Territory,Oregon Coast Trail,Overland Trails,Overland journeys to the Pacific,Pacific Northwest style,Northwest, Pacific,Pioneers,Pioneers,Squatter settlements,Land settlement,Trails,Transportation,Travel,Founding Fathers of the United States",1.00,0.10,0.32,0.45,29.00
"faith in black power : religion, race, and resistance in cairo, illinois","""in 1969, nineteen-year-old robert hunt was found dead in the cairo, illinois, police station the white authorities ruled the death a suicide, but many members of the african american community believed that hunt had been murdered--a sentiment that sparked rebellions and protests across the city cairo suddenly emerged as an important battleground for black survival in america and became a focus for many civil rights groups, including the naacp the united front, a black power organization founded and led by reverend charles koen, also mobilized--thanks in large part to the support of local christian congregations in this vital reassessment of the impact of religion on the black power movement, kerry pimblott presents a nuanced discussion of the ways in which black churches supported and shaped the united front she deftly challenges conventional narratives of the de-christianization of the movement, revealing that cairoites embraced both old-time religion and revolutionary thought not only did the faithful fund the mass direct-action strategies of the united front, but activists also engaged the literature on black theology, invited theologians to speak at their rallies, and sent potential leaders to train at seminaries pimblott also investigates the impact of female leaders on the organization and their influence on young activists, offering new perspectives on the hypermasculine image of black power based on extensive primary research, this groundbreaking book contributes to and complicates the history of the black freedom struggle in america it not only adds a new element to the study of african american religion but also illuminates the relationship between black churches and black politics during this tumultuous era""--provided by publisher",civil rights movements; african americans; black power; african american churches; civil rights; race relations,4,"African American churches, Black Power, Black power movement, Black theology, Cairo (Ill.), Cairo (Illinois), Civil Rights Movements, Civil rights workers, Community organization, Direct action, Freedom of speech, Human rights, Illinois, Local government, Mass media and the civil rights movement, Moral and ethical aspects of civil rights, Murder investigation, Nonviolence, Political activism, Political participation, Protest movements, Race relations, Racial tensions, Racially motivated crimes, Social justice, Social movements, Suicides in police custody, United Front (Organization), Vigilantism, Voting rights, Women in leadership, Women in the civil rights movement","African American churches,Black power,Black power,Black theology,Cairo,Cairo,Civil rights movements,Civil rights workers,Community organization,Direct action,Freedom of speech,Human rights,Illinois,Local government,Slavery in mass media,Moral damages (Civil law),Homicide investigation,Nonviolence,Activism,Political participation,Protest movements,Race relations,Crime and race,Crime and race,Social justice,Social movements,Protective custody,United Thank Offering,Vigilantism,Voting, Compulsory,Leadership in women,Women civil rights workers",0.67,0.13,0.42,0.53,30.00
fidel castro : cuban revolutionary leader,"in 1959, fidel castro took control of the cuban government and became its new leader fidel castro: cuban revolutionary leader explores the early life of castro and his rise to power easy-to-read text, vivid images, and helpful back matter give readers a clear look at this subject features include a table of contents, infographics, a glossary, additional resources, and an index aligned to common core standards and correlated to state standards",revolutionaries; heads of state; dictators,2,"1926-2016, 1959, 20th century, Authoritarianism, Biographies, Biography, Caribbean Area, Castro, Cold War, Communism, Cuba, Cuba Politics and Government 1959-1990, Cuban Revolution, Dictators, Fidel, Fidel Castro Ruz, Government, Guerrilla warfare, Heads of state, Historical figures, History, Ideology, Insurgency, International relations, Latin America, Leadership, Marxism, Military history, Nationalism, Personal narratives., Politicians, Politics, Politics and government, Revolutionaries, Social change, Socialism, World leaders","1926-,1959-,20th century,Authoritarianism,Biographical sources,Biography,Caribbean Area,Decimas, Cuban,Cold War,Communism,Cuba,General strike, Cuba, 1958,Participation, Cuban,Dictators,Mutue Fides Mine,Decimas, Cuban,Government,Guerrilla warfare,Heads of state,Historians,History,Ideology,Insurgency,International relations,Latin America,Leadership,Marxist criticism,Military history,Nationalism,Personal narratives,Politicians,Politics and government,Politics and government,Revolutionaries,Social change,Socialism,Leadership",1.00,0.08,0.35,0.44,36.00
"danger, man working : writing from the heart, the gut, and the poison ivy patch","""a collection of previously published magazine pieces and essays by michael perry sources include backpacker, outside, runner's world, men's health, no depression, oxford american, best american science writing, wisconsin trails, encyclopedia of the midwest, minnesota monthly, liner notes from blind boys of alabama album i'll find a way, wisconsin humanities council newsletter""--provided by publisher",popular culture,3,"Adventure, American, American essays, Conservation, Creative nonfiction., Environmental aspects, Environmental degradation, Environmental protection, Environmental writing, Essay writing, Essays, Freelance writing, Hiking, Human impact on the environment, Journalism, Journalism as a career, Magazine writing, Memoirs, Men's magazines, Midwestern United States, Nature, Nature writing, Nonfiction writing, Outdoor life, Outdoor recreation, Outdoor recreation., Personal growth, Personal narratives, Regional studies, Running, Science writing, Travel, Wisconsin","Adventure games,American,American essays,Conservation,Creative nonfiction,Environmental aspects,Environmental degradation,Environmental protection,Environmental literacy,Essays,Essays,Writing skill,Hiking,Effect of environment on,Journalism,Journalism and education,Magazine design,Book of life,Men's magazines,Midwestern style,Nature,Nature writers,Nonfiction novel,Outdoor life,Outdoor recreation,Outdoor recreation,Growth,Personal narratives,Regionalism and education,Running,Science writers,Travel,Wisconsin",0.00,0.00,0.00,0.24,31.00
