title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the power of money : how to avoid a devil's snare,"explains what lurks behind most christians' misunderstanding of money learn how to: jump out of the same old money rut of feeling like you're worth more than you're being paid or that you can never quite get ahead financially; understand the unseen force holding you back financially no matter how much money you earn or try to save; approach spending, earning, and saving in an entirely new way--p [4] of coer","money; finance, personal","Money--Religious aspects--Christianity, Finance, Personal--Religious aspects--Christianity, Wealth--Religious aspects--Christianity, Saving and investment, Consumer behavior, Financial literacy, Christian life","Economy of God,Finance,Religious aspects,Economy of God,Saving and investment,Consumer behavior,Financial literacy,Christian life",0.33,0.14,0.39,0.51,7.00
recycled lives : a history of rebirth in blavatsky's theosophy,"""a sizeable minority of people with no particular connection to eastern religions believe in reincarnation the rise in popularity of this belief over the last century and a half is the direct result of the impact of the nineteenth-century's largest and most influential western esoteric movement, the theosophical society in recycled lives, julie chajes explains and historicises the rebirth doctrines of the matriarch of theosophy, the controversial occultist, helena petrovna blavatsky (1831-1891) examining her teachings in detail, chajes contextualises them in light of multiple dimensions of nineteenth-century intellectual and cultural life in particular, this book explores blavatsky's readings (and misreadings) of spiritualist currents, scientific theories, platonism, and hindu and buddhist thought these, in turn, are set in relief against broader nineteenth-century american and european trends the chapters come together to reveal the contours of a modern perspective on reincarnation that is inseparable from the nineteenth-century discourses within which it emerged, and which has shaped how people in the west tend to view reincarnation today""-- provided by publisher",reincarnation; theosophy,"Reincarnation, Theosophy, Blavatsky, Helena Petrovna, 1831-1891, Occultism, Spiritualism, Nineteenth century, Intellectual life, Cultural history, Hinduism, Buddhism, Platonism, Western esotericism, Theosophical Society, Religious movements, History of ideas","Reincarnation,Theosophy,Lulav,Correa,1830-,Occultism,Spiritualism,Nineteenth century,Intellectual life,History in popular culture,Hinduism,Buddhism,Platonic love,Fourth Way (Occultism),Universalism,Broad Church Movement,History and criticism",1.00,0.12,0.35,0.38,17.00
food and faith : a theology of eating,"""this book provides a comprehensive theological framework for assessing eating's significance, demonstrating that eating is of profound economic, moral, and theological significance""-- provided by publisher",dinners and dining; food; food habits,"Food—Religious aspects, Eating (Philosophy), Theology, Ethics, Religion and culture, Food habits—Moral and ethical aspects, Food—Economic aspects, Food—Moral and ethical aspects","Sacred meals,Eating (Philosophy),Theology,Ethics,Religion and culture,Food habits,Food industry and trade,Food habits",0.33,0.14,0.50,0.50,7.00
"the essential works of john wesley : selected sermons, essays, and other writings","presents the best and most enriching writings of one of america's greatest preachers and revivalists wesley produced an enormous amount of literature during his lifetime, and here his work is distilled into the essential, the most compelling spiritual literature he produced",methodist church; theology,"Methodism, Wesley, John, 1703-1791, Sermons, English, Christian literature, English, Religious literature, Revivalism, Theology, Doctrinal, Spiritual life, Christianity, Preaching, Religious thought, England, 18th century","Methodism,Wesley,John (Name),1791-1804,Sermons,English,Christian literature,English,Religious literature,Restorationism,Theology,Doctrinarians,Spiritual life,Christianity,Preaching,Religious thought,England,18th century",0.50,0.06,0.39,0.45,17.00
hinduism : babu's story,"""using a first-person narrative, explains the beliefs, customs, and festivals of hinduism explains the clothing, traditions, food, historical writings, holy days, and holy places that define hindus includes a map to show where hinduism originated""--provided by publisher",hinduism,"Hinduism, Hinduism--Customs and practices, Hinduism--Festivals, Hinduism--Sacred places, Hinduism--History, Hinduism--Sacred books, Hinduism--Clothing, Hinduism--Food, Hinduism--Rituals, Hinduism--Geography, Hinduism--Cultural aspects","Hinduism,Hinduism and culture,Hinduism and culture,Hinduism and culture,Hinduism,Miracles (Hinduism) in literature,Hinduism and culture,Hindu cooking,Atonement (Hinduism),Hinduism and culture,Hinduism and culture",1.00,0.20,1.00,0.76,5.00
the abbots and priors of late medieval and reformation england,"the importance of the medieval abbot needs no particular emphasis the monastic superiors of late medieval england ruled over thousands of monks and canons, who swore to them vows of obedience; they were prominent figures in royal and church government; and collectively they controlled properties worth around double the crown's annual ordinary income moreover, as guardians of regular observance and the primary interface between their monastery and the wider world, abbots and priors were pivotal to the effective functioning and well-being of the monastic order the abbots and priors of late medieval and reformation england provides the first detailed study of english male monastic superiors, exploring their evolving role and reputation between the fourteenth and sixteenth centuries individual chapters examine the election and selection of late medieval monastic heads; the internal functions of the superior as the father of the community; the head of house as administrator; abbatial living standards and modes of display; monastic superiors' public role in service of the church and crown; their external relations and reputation; the interaction between monastic heads and the government in henry viii's england; the dissolution of the monasteries; and the afterlives of abbots and priors following the suppression of their houses this study of monastic leadership sheds much valuable light on the religious houses of late medieval and early tudor england, including their spiritual life, administration, spending priorities, and their multi-faceted relations with the outside world the abbots and priors of late medieval and reformation england also elucidates the crucial part played by monastic superiors in the dramatic events of the 1530s, when many heads surrendered their monasteries into the hands of henry viii",abbots; priories; monasticism and religious orders; monasticism and religious orders,"Monasticism and religious orders—England—History—Middle Ages, 600-1500, Abbots—England—History, Priors—England—History, Reformation—England, Monasteries—England—History, Henry VIII, King of England, 1491-1547, Church and state—England—History—16th century, Monasticism and religious orders—England—History—16th century, Dissolution of monasteries—England, England—Church history—1066-1485, England—Church history—16th century","Monasticism and religious orders,600-1500,Abbots Worthy Site (Abbots Worthy, England),British rule, 1878-1960,Reformation,Premonstratensian monasteries,Henry VIII, 1509-1547,Arthur, King,1492-1517,Latitudinarianism (Church of England),Monasticism and religious orders,Double monasteries,Latitudinarianism (Church of England),Latitudinarianism (Church of England)",0.33,0.07,1.00,0.39,15.00
"resistance, power, and conceptions of political order in islamist organizations : comparing hezbollah and hamas","this book provides a comprehensive analysis of islamist organizations' conceptions of political order based on a comparative case study of the shiite lebanese hezbollah and the sunni palestinian hamas connecting islamism research, critical constructivist norm research, and resistance studies from the field of international relations theory, it demonstrates that resistance constitutes both organizations' core norm and is relevant for their conceptions of political order based on primary arabic data the book illustrates that the core norm of resistance, deeply intertwined with both organizations' interactions towards power preservation and the specific political context they are engaged in, characterizes hezbollah's and hamas' respective conceptions of political order and explains the differences between them in contrast to common perceptions presented in research, politics, and the media, the book shows that in the case of both hezbollah and hamas the religious orientation, ie shiite and sunni islamist political thought, plays a secondary role only when it comes to explaining islamist organizations' political orientation bringing new insights from cases that lie beyond the western liberal world order into critical constructivist norm research and resistance studies, the book establishes a theoretical framework that enables scholars to comprehensively analyze islamist organizations' political orientation in different cases without being caught in limited analytical categories it will be of interest to students and scholars of international relations theory, middle east studies, and global governance",islam and politics,"Islam and politics, Hezbollah (Lebanon), Hamas, Political science—Middle East, International relations—Religious aspects—Islam, Shiites—Political activity, Sunnites—Political activity, Resistance (Philosophy), Political sociology—Middle East, Comparative government, Middle East—Politics and government, Islamic fundamentalism, Political science—Philosophy, Critical theory, Constructivism (Philosophy), Normativity (Ethics), Global governance","Islam and politics,Lebanon,Israel-Hamas War, 2023-,Middle Eastern influences,Islam and international relations,Shiites,Sunnites,Resistance (Philosophy),Middle Eastern influences,Comparative government,League of Arab States,Islamic fundamentalism,Opposition (Political science),Critical theory,Constructivism (Philosophy),Normativity (Ethics),Human rights and globalization",1.00,0.06,0.24,0.40,17.00
good or god? : why good without god isn't enough,"these days the terms good and god seem synonymous we believe what's generally accepted as good must be in line with god's will generosity, humility, justice - good selfishness, arrogance, cruelty - evil the distinction seems pretty straightforward but is that all there is to it? if good is so obvious, why does the bible say that we need discernment to recognize it?-- page 4 of cover",good and evil; god (christianity),"Ethics, Religious, Good and evil, God, Christian ethics, Discernment (Christian theology), Theology, Biblical teaching, Religious aspects, Morality","Ethics,Religion,Good and evil,God,Christian ethics,Discernment (Christian theology),Theology,Biblical teaching,Religious aspects,Moralities",0.50,0.10,1.00,0.57,10.00
under pressure : confronting the epidemic of stress and anxiety in girls,"""though anxiety has risen among young people overall, studies confirm that it has skyrocketed in girls research finds that the number of girls who said that they often felt nervous, worried, or fearful jumped 55% from 2009 to 2014 while the comparable number for adolescent boys has remained unchanged as a clinical psychologist who specializes in working with girls, lisa damour, phd, has witnessed this rising tide of stress and anxiety in her own research, private practice, and in the all-girls' school where she consults, and knew this had to be the topic of her new book in the same engaging, anecdotal style and reassuring tone that won over thousands of readers of her first book, untangled, damour starts by addressing the facts about psychological pressure surprisingly, she explains the underappreciated value of stress and anxiety--that stress can helpfully stretch us beyond our comfort zones and anxiety can play a key role in keeping girls safe when we emphasize the benefits of stress and anxiety we can help our daughters take them in stride but no one wants their girl to suffer from emotional overload, so damour then turns to the many facets of their lives where tension takes hold: their interactions at home, pressures at school, social anxiety among other girls and among boys, and on social media as readers move through the layers of girls' lives, they'll learn about the critical steps that adults can take to shield their daughters from the toxic pressures to which our culture--including we, as parents--subjects girls readers who know damour from untangled or the new york times or from her regular appearances on cbs news will be drawn to this important new contribution to understanding and supporting today's girls""-- provided by publisher",stress in adolescence; anxiety in adolescence; teenage girls; stress management,"Stress in adolescence, Anxiety in adolescence, Girls--Psychology, Adolescent psychology, Parent and teenager, Social media--Psychological aspects, Emotional problems of teenagers, Mental health, Parenting, Adolescent girls--Mental health","Stress in adolescence,Anxiety in adolescence,Sex (Psychology),Adolescent psychology,Parent and teenager,Attitudes,Emotional problems of teenagers,Mental health,Parenting,Anxiety in youth",0.50,0.20,0.69,0.62,10.00
"shakers, mormons, and religious worlds : conflicting visions, contested boundaries","this volume demonstrates how the shakers and the mormons maintained boundaries and created their own thriving, but insular communities separate and distinct from mainstream american protestantism the author describes the innovation deployed by both the shakers and the mormons through which they embraced their status as outsiders he feels that their marginalization was critical to their initial success he points out the differences between shakers and mormons and illuminates the characteristics which set these groups apart and helped them to become true religious dissenters",christian sociology,"Shakers, Mormons, Religious communities, Religious dissenters, Protestantism, Marginalization, Religious innovation, American religious history, Religious boundaries, Religious identity","Shakers,Mormon pioneers,Religious communities,Dissenters, Religious,Protestantism,Marginal productivity,Religious invention,Religious history,Implicit religion,Religious identity",0.00,0.00,0.00,0.39,11.00
"against the tide, towards the kingdom","this is the story of the urban vision community in new zealand this book recounts the story of a group of young christian adults who over the last fifteen years have relocated to the colorful ends of their city to share life with those who are struggling, homeless, sick, poor, neglected, or otherwise marginalized the community has grown over time to seven neighborhoods where on any given day you may find ""urban visionites"" growing vegetables amidst the concrete, teaching english to refugees, offering alternative education programs to out of school teenagers, fostering children, doing church with the homeless, offering friendship to the mentally ill, roasting fair trade coffee, running kids clubs, moms groups, tenant meetings or just sharing yet another cup of tea with their neighbors in fact sharing is a good summary of the whole shape of this exciting movement they share homes, food, money, vehicles, jobs, prayers, dreams, conversations, fun, tears, pain, hope, healing, transformation they share the whole of life with each other and with their neighbors they live the gospel, this good news of jesus",church work; church work with youth; church work with the poor; voluntarism; church and social problems,"Christian communities—New Zealand, Urban poor—Services for—New Zealand, Church work with the poor—New Zealand, Church work with the homeless—New Zealand, Church work with the mentally ill—New Zealand, Social service—Religious aspects—Christianity, Community development—Religious aspects—Christianity, Urban renewal—New Zealand, Social justice—Religious aspects—Christianity, New Zealand—Social conditions","Christian fiction, New Zealand,Investments, New Zealand,Church work with the poor,Church work with the homeless,Church work with the mentally ill,Secular employment,Faith development,Conservation House (Wellington, N.Z.),Christianity and justice,National characteristics, New Zealand",0.20,0.08,0.28,0.44,12.00
making sense of martin luther,making sense of martin luther uses a conversational format to explore how luther's dynamic understanding of god's life-changing gospel informs day-to-day faith and life in the world today,lutheran church,"Luther, Martin, 1483-1546, Theology, Christianity, Faith, Religious life, Reformation, Protestantism, Church history, Christian biography","Luther family,Purple martin,1547-1553,Theology,Christianity,Faith,Religious life,Reformation,Protestantism,Church history,Christian biography",0.00,0.00,0.00,0.43,11.00
"the cambridge guide to jewish history, religion, and culture","""the cambridge guide to jewish history, religion, and culture is a comprehensive and engaging overview of jewish life, from its origins in the ancient near east to its impact on contemporary popular culture the twenty-one essays, arranged historically and thematically, and written specially for this volume by leading scholars, examine the development of judaism and the evolution of jewish history and culture over many centuries and in a range of locales they emphasize the ongoing diversity and creativity of the jewish experience unlike previous anthologies, which concentrate on elite groups and expressions of a male-oriented rabbinic culture, this volume also includes the range of experiences of ordinary people and looks at the lives and achievements of women in every place and era the many illustrations, maps, timeline, and glossary of important terms enhance this book's accessibility to students and general readers""--provided by publisher",judaism; jews,"Judaism—History, Jewish history, Jewish culture, Jewish religion, Jewish women, Jewish diaspora, Jewish studies, Ancient Near East, Rabbinic literature, Jewish life, Jewish identity, Jewish art, Jewish philosophy, Jewish literature, Jewish education, Jewish customs, Jewish traditions, Jewish communities, Jewish thought, Jewish civilization, Jewish heritage.","Reconstructionist Judaism,Jewish historians,Judaism and culture,Judaism,Jewish women,Jewish diaspora,Jewish learning and scholarship,Geography, Ancient,Rabbinical literature,Jewish way of life,Jewish exempla,Jewish art,Jewish philosophy,Jewish literature,Jewish educators,Jewish morning customs,Tradition (Judaism),Jewish community centers,Jewishness,Judaism and culture,Jewish Heritage Week",0.50,0.05,0.22,0.66,21.00
long-expected jesus : an advent devotional,"during a time of year when the pace of life becomes even more frenzied than usual, the season of advent presents us with a unique opportunity long-expected jesus invites the people of god to spend four weeks slowing down, waiting patiently, and praying expectantly in anticipation of our coming savior designed to be used by individuals, families, or faith communities, this devotional begins with the first sunday of advent and contains a short reflection for every day through christmas, offering a meaningful experience for all ages the relatable, lectionary-based meditations have been written by a variety of leaders, pastors, and storytellers, including mark fuller, shawna songer gains, michael palmer, jeren rowell, carla sunberg, and more be blessed and encouraged this advent season as we gather in community to await the return of our long-expected jesus-- source other than library of congress",advent; devotional literature,"Advent, Devotional literature, Christian life, Jesus Christ--Second Advent, Spiritual life--Christianity, Church year, Christmas--Religious aspects--Christianity, Christian communities, Prayer--Christianity, Lectionaries","Advent,Devotional literature,Christian life,Advent Christian,Spiritual life,Church year,Religious life and customs,Christian communities,Prayer,Lectionaries",1.00,0.20,0.92,0.54,10.00
"the bible, mormon scripture, and the rhetoric of allusivity","this book examines mormon scripture through the lens of biblical intertextuality in an attempt to further understand joseph smith's usage of the bible in order to provide the depth necessary for such a study, this book examines only the prologue of the gospel of john as it appears in mormon scripture--provided by the publisher",mormon church; mormon church,"Bible—Criticism, interpretation, etc., Mormon Church—Sacred books, Intertextuality in the Bible, Joseph Smith, Jr., 1805-1844—Criticism and interpretation, Bible—Influence, Mormon literature—History and criticism, Bible—Relation to Mormonism, Gospel of John—Criticism, interpretation, etc.","Light and darkness in the Bible,Interpretation,Shorts (Clothing),Book of Mormon,Intertextuality in the Bible,Joseph Smith, Sr., Farm,Hebron,1844-1857,Bible and homosexuality,Book of Mormon stories,In the Book of Mormon,Fatherhood (Christian theology) in literature,Interpretation,Shorts (Clothing)",0.00,0.00,0.00,0.31,14.00
ethics : the fundamental questions of our lives,"wolfgang huber is germany's most important theological ethicist, and this is a translation of his 2013 book published with ch beck acknowledging our pluralistic world, huber analyzes twenty ethical issues that emerge during the course of our lives: the future of the family, genetic handicaps and genetic enhancement, combatting global hunger and poverty, environmental degradation, religious freedom, the right to health, the expanding influence of the media, the true purpose of business, what we owe our descendants, global conflict and war and peace, the role of science, extending life and accepting death, and so on in each chapter he provides a concrete example showing the relevance of the fundamental ethical question, then explains how one can think through possible responses and reactions huber is firmly within the protestant tradition and takes philosophical cues from kant as such, he emphasizes the connections between personal, professional, and institutional ethics and demonstrates how human relationships lie at the center of our ethical lives his aim is to articulate a theology of what he calls ""responsible freedom"" that transcends individualistic self-realization and includes communal obligations",ethics; ethics; virtues,"Ethics, Theological ethics, Protestant ethics, Applied ethics, Social ethics, Environmental ethics, Bioethics, Religious ethics, Philosophy and religion, Kant, Immanuel, 1724-1804, Responsibility, Freedom, Human rights, Globalization, Family, Genetic engineering, Poverty, Environmental degradation, Religious liberty, Health, Mass media, Business ethics, War and ethics, Science and ethics, Death, Life, Human relationships, Communitarianism, Individualism","Ethics,Justification (Christian theology),Protestant interpretations,Applied ethics,Social ethics,Environmental ethics,Bioethics,Religious ethics,Philosophy and religion,Kanton,Neuston,638-1798,Responsibility,Good and evil,Human rights,Globalization,Family,Genetic engineering,Poverty,Environmental degradation,Freedom of religion,Health,Mass media,Business ethics,War and crime,Philosophy and science,Death,Life,Man-man relationships,Communitarianism,Individualism",0.50,0.03,0.23,0.42,31.00
expectations for women : confronting stereotypes,"provides thoughtful, sensitive, and straightforward guidance on how to navigate toward a healthy and well-adjusted understanding of self-worth",self-perception in women; social perception; body image in women; stereotypes (social psychology,"Women—Psychology, Stereotypes (Social psychology), Self-esteem in women, Sex role, Women—Social conditions, Women—Identity, Self-perception in women, Gender identity, Social psychology, Women—Conduct of life","Self-actualization (Psychology) in women,Stereotypes (Social psychology),Self-esteem in women,Sex role,Social conditions,Gender identity,Self-perception in women,Gender identity,Social psychology,Feminist ethics",0.25,0.11,0.32,0.68,9.00
embracing your second calling : find passion and purpose for the rest of your life : [a woman's guide],"do you ever wonder if the best of life is in the past? are you longing for more passion and purpose in the second half of your life? take a deep breath and prepare for a great adventure in this book, dale hanson bourke resoundingly affirms that midlife is not only a time for reflection but also a time for action she challenges women to respond to god's call specifically for this season of life and offers practical ideas for finding new meaning",middle-aged women; christian women; older women; aging; female friendship; mentoring in church work,"Self-actualization (Psychology) in women, Middle-aged women—Psychology, Middle-aged women—Religious life, Christian women—Religious life, Vocation—Christianity, Life change events—Religious aspects—Christianity, Purpose, Midlife crisis—Religious aspects—Christianity","Self-actualization (Psychology) in women,Loss (Psychology) in women,Monastic and religious life of women,Young Women's Christian associations,Vocation (in religious orders, congregations, etc.),Christianity and religious humanism,Attention,New Life movement (Christianity)",0.00,0.00,0.00,0.44,10.00
"creating an intimate marriage : rekindle romance through affection, warmth & encouragement","""written by the host of the homeword radio broadcast, this book examines how awe (affection, warmth, and encouragement) can transform any marriage relationship, providing a solid foundation for an intimate and fulfilling life together incorporating biblical principles with personal testimony, it offers help to couples of all ages""--provided by publisher",marriage; intimacy (psychology),"Marriage—Religious aspects—Christianity, Marriage—Psychological aspects, Intimacy (Psychology), Communication in marriage, Interpersonal relations—Religious aspects—Christianity, Love—Religious aspects—Christianity, Marriage counseling, Marriage—Biblical teaching, Christian life, Radio programs—Religious aspects—Christianity","Marriage and spiritualism,Marital quality,Intimacy (Psychology),Communication in marriage,Christianity and religious humanism,Faith and reason,Marriage counseling,Marriage in the Bible,Christian life,Radio in religion",0.50,0.10,0.43,0.52,10.00
the crucible of islam,"little is known about arabia in the sixth century ce yet from this distant time and place emerged a faith and an empire that stretched from the iberian peninsula to india today, muslims account for nearly a quarter of the global population g w bowersock seeks to illuminate this most obscure and yet most dynamic period in the history of islam--from the mid-sixth to mid-seventh century--exploring why arid arabia proved to be such fertile ground for muhammad's prophetic message, and why that message spread so quickly to the wider world in muhammad's time arabia stood at the crossroads of great empires, a place where christianity, judaism, and local polytheistic traditions vied for adherents mecca, muhammad's birthplace, belonged to the part of arabia recently conquered by the ethiopian christian king abraha but ethiopia lost western arabia to persia following abraha's death, while the death of the byzantine emperor in 602 further destabilized the region within this chaotic environment, where lands and populations were traded frequently among competing powers and belief systems, muhammad began winning converts to his revelations in a troubled age, his followers coalesced into a powerful force, conquering palestine, syria, and egypt and laying the groundwork of the umayyad caliphate the crucible of islam remains an elusive vessel although we may never grasp it firmly, bowersock offers the most detailed description of its contours and the most compelling explanation of how one of the world's great religions took shape-- provided by publisher",islam; arabs,"Islam--History--To 1500, Arabia--History--To 622, Muhammad, Prophet, -632, Islamic Empire--History--622-661, Mecca (Saudi Arabia)--History, Religion and politics--Arabia, Christianity and other religions--Islam, Judaism--Relations--Islam, Umayyad Caliphate, Prophets in Islam","Islamic chronology,Uhud, Battle of, Saudi Arabia, 625,Mohammed Diyab, Tell,Prophets,622-661,Islamic chronology,Mecca (Saudi Arabia),Islam and politics,Islam and secularism,Judaism and international relations,Caliphate,Prophets, Pre-Islamic",0.00,0.00,0.00,0.46,15.00
"reformations : the early modern world, 1450-1650","""this fast-paced survey of western civilization's transition from the middle ages to modernity brings that tumultuous period vividly to life carlos eire, popular professor and gifted writer, chronicles the two-hundred-year era of the renaissance and reformation with particular attention to issues that persist as concerns in the present day eire connects the protestant and catholic reformations in new and profound ways, and he demonstrates convincingly that this crucial turning point in history not only affected people long gone, but continues to shape our world and define who we are today the book focuses on the vast changes that took place in western civilization between 1450 and 1650, from gutenberg's printing press and the subsequent revolution in the spread of ideas to the close of the thirty years' war eire devotes equal attention to the various protestant traditions and churches as well as to catholicism, skepticism, and secularism, and he takes into account the expansion of european culture and religion into other lands, particularly the americas and asia he also underscores how changes in religion transformed the western secular world created with students and nonspecialists in mind, reformations is an inspiring, provocative volume for any reader who is curious about the role of ideas and beliefs in history""--jacket",reformation; counter-reformation; renaissance,"Reformation—History, Renaissance, Church history—16th century, Church history—17th century, Protestantism—History, Catholic Church—History—16th century, Catholic Church—History—17th century, Secularism—History, Printing—History, Europe—History—1492-1648, Europe—Civilization—16th century, Europe—Civilization—17th century, Intellectual life—History, Religion and culture—History, Europe—Religious life and customs, History—Study and teaching, Western civilization—History","Reformation,Renaissance,Church history,Church history,Protestantism,Old Catholic Church,Old Catholic Church,Secularization,Historical prints,1492-1648,15th century,15th century,Intellectual history,Religious history,Secularization,History in mathematics education,Western civilization",0.67,0.15,0.57,0.56,13.00
addictive habits : changing for good,"""addictions begin with a choice--but come to trap and define you these daily devotionals refocus us on the god who can restructure lives and disentangle sinners from enslavement""-- provided by publisher",addicts; compulsive behavior; devotional exercises,"Addictive behaviors, Habit breaking, Behavior modification, Religious aspects of addiction, Spiritual life, Devotional literature, Self-help techniques, Personal transformation, Sin, Redemption","Internet addiction,Habit breaking,Behavior modification,Religious addiction,Spiritual life,Devotional literature,Self-help techniques,Self-confidence,Sin,Redemption",0.00,0.00,0.00,0.44,10.00
from rationality to equality,"""most contemporary moral and political philosophers would like to have an argument showing that morality is rationally required in from rationality to equality, james p sterba provides just such an argument and further shows that morality, so justified, requires substantial equality his argument from rationality to morality is based on the principle of non-question-beggingness and has two forms the first assumes that the egoist is willing to argue for egoism non-question-beggingly, and the second only assumes that the egoist is willing to assent to premises she actually needs to achieve her egoistic goals either way, he argues, morality is rationally (ie, non-question-beggingly) preferable to egoism""--jacket",ethics; equality; liberty; libertarianism; libertarians,"Ethics, Political philosophy, Equality, Rationalism, Egoism, Moral philosophy, Justice, Non-question-beggingness, Moral justification, Social equality","Ethics,Political realism,Equality,Rationalism,Egoism,Existential ethics,Justice,Repetition compulsion,Justification (Ethics),Social justice",0.40,0.20,0.69,0.60,10.00
tantrasamuccaya of nārāyaṇa : with the commentaries vimarśinī of śaṅkara and vivaraṇa of nārāyanaśisya ; reprinted with an english translation of the text = tantrasamuccayaḥ : śaṅkarapraṇītayā vimarśinyākhyayā vyākhyayā tantrasamuccayakāraśiṣyapraṇītayā vivaraṇākhyayā vyākhyayā ca sametaḥ,compendium for tantric rituals and rules for temple architecture and sculpture; text with sanskrit commentaries and english translation,tantrism; hindu architecture; hindu temples; hindu sculpture,"Tantric Buddhism, Sanskrit literature, Hindu temples, Hindu sculpture, Hindu architecture, Religious rituals, Hindu philosophy, Commentaries, Translations, Sanskrit language, Religious texts, Hindu rituals, Temple architecture, Hindu art, Religious architecture","Tantric Buddhism,Sanskrit literature,Hindu temples,Hindu sculpture,Hindu architecture,Rituals,Hindu philosophy,Commentaries,Translations,Sanskrit language,Religion in textbooks,Hindu funeral rites and ceremonies,Temples in art,Hindu art,Religious architecture",0.75,0.20,0.45,0.60,15.00
buddhism for dummies,"a hands-on guide to the rich history and modern practice of buddhism explains key concepts, and explores the origins of this fascinating ancient practice, along with daily observances, celebrations, meditation, and more",buddhism,"Buddhism, Religious life—Buddhism, Meditation—Buddhism, Buddhism—History, Buddhism—Customs and practices, Buddhism—Rituals, Buddhism—Doctrines","Buddhism,Faith (Buddhism),Meditation,Buddhist legends,Buddhism and culture,Rituals,Buddhism and philosophy",1.00,0.14,0.36,0.73,7.00
spirit messages : inspiring stories about mediumship and experiences from the other side,"""this book is a collection of messages that have come through spirits during the many seances that elizabeth owens has conducted or witnessed""-- provided by publisher",mediums; spiritualism,"Spiritualism, Mediums, Séances, Spirit messages, Afterlife, Psychic phenomena, Supernatural, Parapsychology, Ghosts, Spiritual life","Spiritualism,Mediums,Seances,Hiatus,Eternity,Psychic energy (Psychoanalysis),Supernatural,Parapsychology,Ghosts,Spiritual life",1.00,0.20,0.54,0.54,10.00
108 vaishnavite divya desams,"brief history of vaishnavite temples, chiefly in tamil nadu; includes selections from the nālāyirat tivviyap pirapantam, tamil vaishnavite anthology, with english translation",vaishnava temples; vaishnavism,"Vaishnavism—Temples—India—Tamil Nadu, Tamil literature—Translations into English, Hindu temples—India—Tamil Nadu, Vaishnavism—Sacred books, Tamil poetry—Translations into English, Hinduism—India—Tamil Nadu, Religious literature, Tamil—History and criticism","Vamana Temple (Khajurāho, India),Tamil literature,Hindu temples,Sacred books,Tamil poetry,Hindu saints, Tamil,Religious literature,Tamil essays",0.00,0.00,0.00,0.37,10.00
wizards and witches,"an introduction to magical beings, wizards and witches",witches; wizards,"Magic, Wizards, Witches, Mythology, Folklore, Supernatural, Fantasy literature, Occultism","Magic,Wizards,Witches,Mythology,Folklore,Supernatural,Fantasy literature,Occultism",1.00,0.25,0.57,0.60,8.00
"john dewey and the artful life : pragmatism, aesthetics, and morality","""examines the relationship between art and morality discussed in the writings of american pragmatist john dewey argues that there is a clear connection between the experience of art and the project of moral cultivation""--provided by publisher",art and morals,"Pragmatism, Aesthetics, Art and morals, Dewey, John, 1859-1952, Moral education, Art—Philosophy, Ethics, American philosophy","Pragmatism,Aesthetics,Art and morals,Dewey,John (Name),1859-1950,Moral education,Art and philosophy,Ethics,Philosophy, American",1.00,0.09,0.29,0.42,11.00
horror and its aftermath : reconsidering theology and human experience,"""this volume articulates one modern trajectory of this appropriation of psychology as the basis for conversation with fundamental questions of human suffering and its remediation in soteriology and eschatology the work gestures toward a new eschatological vision that relies on the radical otherness of divine transcendence""--wwweasonscom",suffering; suffering,"Theology, Psychology and religion, Suffering—Religious aspects, Soteriology, Eschatology, Transcendence of God, Horror—Religious aspects, Human experience—Religious aspects","Theology,Psychology and religion,Suffering of God,Exobiology,Eschatology,Transcendence of God,Psychoanalysis and religion,Experience (Religion) in women",0.00,0.00,0.00,0.36,8.00
"we will survive : true stories of encouragement, inspiration, and the power of song","shares true stories of survival inspired by the song ""i will survive,"" received by the author from her fans",conduct of life,"Survival, Inspiration, Music and society, Music--Psychological aspects, Personal narratives, Resilience (Personality trait), Encouragement, Fans (Persons), Popular music--Social aspects","Survival,Inspiration,Time in music,Emotions in music,Personal narratives,Resilience (Personality trait),Encouragement,Fans (Persons),Sex and popular music",0.00,0.00,0.00,0.23,9.00
