title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
globalization and inequality in emerging societies,"""this volume studies the relation between globalization and inequalities in emerging societies by linking area and global studies, aiming at a new theory of inequality beyond the nation state and beyond eurocentrism""-- provided by publisher",globalization; economic development; international economic relations,"Postcolonialism,Eurocentrism,Equality,Area studies,Critical theory,Social stratification,Transnationalism,Globalization,International relations,Economic development,Developing countries","Postcolonialism,Eurocentrism,Equality,Area studies,Critical theory,Social stratification,Transnationalism,Globalization,International relations,Economic development,Developing countries",0.67,0.18,0.40,0.57,11.00
unece standard on the marketing and commercial quality control of sweet peppers : explanatory brochure,"the explanatory brochure on the standard for sweet peppers has been developed to harmonize the interpretation of the standard, thereby facilitating international as well as national trade it addresses producers and traders, as well as inspection authorities it corresponds to the latest edition of the united nations economic commission for europe (unece) standard for sweet peppers (ffv-28), which was officially adopted in november 2009--publisher's description",sweet peppers; vegetable trade,"Agricultural products,Produce trade,United Nations Economic Commission for Europe,International trade,Agricultural laws and legislation,Sweet peppers,Technical standards,Vegetables","Farm produce,Produce trade,European Free Trade Association,International trade,Agricultural laws and legislation,Sweet peppers,Systems and standards,Vegetables",0.50,0.12,0.43,0.54,8.00
killing bin laden : operation neptune spear 2011,"on may 2, 2011 a ten-year manhunt drew to a deadly end as the men of the us naval special warfare development group (aka seal team six) closed in on their prey, osama bin laden, the mastermind of the world trade center attack on september 11, 2001 flown from afghanistan by army special operations commands 160th special operations aviation regiment (airborne) and evading detection by the pakistani military, two us helicopters flew towards the compound where they believed bin laden to be forty minutes later one helicopter had crashed and five people were dead, including the al-qaeda leader in this book the story of the raid is told, from start to finish, using specially commissioned full-colour artwork, photographs, and maps the operation, codenamed neptune spear, is expertly analyzed and the events are told in a concise and clear account of its build-up, execution, and aftermath, demonstrating the skill and courage of the men who carried it out",special operations (military science); special operations (military science),"1957-2011,September 11 Terrorist Attacks,United States. Navy. SEALs,United States. Army. Special Operations Aviation Regiment,Military history,Abbottābād (Pakistan),Covert operations,Targeted killing,160th,Osama,Operation Neptune Spear,2001-2009,National security,Special operations (Military science),Bin Laden,2001,Pakistan,Terrorism,War on Terrorism,Military helicopters,2011,Military intelligence","1960-2005,September 11 Terrorist Attacks, 2001,United States. Navy,United States. Army. Air Corps,Military history,Diwan-i Amm (Lahore Fort, Lahore, Pakistan),Undercover operations,Targeted killing,70-,Opah,Operation Neptune,2001-2009,National security,Special operations (Military science),Amirids,2001-,Pakistan,Terrorism,Terrorism,Military helicopters,2011-,Military intelligence",1.00,0.05,1.00,0.32,22.00
identifying and quantifying rates of state motor fuel tax evasion,explores a methodological approach to examine and reliably quantify state motor fuel tax evasion rates and support agency efforts to reduce differences between total fuel tax liability and actual tax collections-- source other than library of congress,motor fuels; tax evasion,"Tax administration and procedure,State taxation,Tax auditing,Tax gap,Tax compliance,Tax evasion,Fiscal policy,Public finance,Revenue,Motor fuels,Tax collection,Taxation,Gasoline tax","Tax administration and procedure,Taxation, State,Tax auditing,Single tax,Taxpayer compliance,Tax evasion,Fiscal policy,Finance, Public,Revenue,Motor fuels,Tax collection,Taxation,Energy tax",1.00,0.15,0.69,0.58,13.00
transportation then and now,"""leveled text and vibrant, full-color photographs take readers through the cultural and technological advances that affected transportation through time readers will compare life in the past to life today an infographic and what do you think? sidebars and an activity encourage deeper inquiry features reading tips for teachers and parents, a table of contents, a glossary, and an index""--provided by publisher",transportation; transportation,"Teaching,Progress,Social history,Social change,Visual learning,Civilization,Illustrated books,Transportation,Comparative studies,Juvenile works,Education,Inventions,Children's literature,Technological innovations","Teaching,Progress,Social history,Social change,Visual learning,Civilization,Illustrated books,Transportation,Comparative studies,Juvenile films,Education,Inventions,Children's literature,Technological innovations",1.00,0.07,1.00,0.32,14.00
the first modern risk : workplace accidents and the origins of european social states,"""in august 2008, the british government released its first 'national risk register', which contained an 'assessment of the risks of civil emergencies facing people in the uk' the register has been updated every two years since 'to ensure that changes to the assessment of risks in terms of impact, plausibility and likelihood are correctly captured' by 2015, the most significant risks facing britons were identified as pandemic flu and issues associated with weather, from coastal flooding to heatwaves and gales, alongside 'catastrophic terrorist attacks' and 'widespread electricity failure' 'major industrial accidents' ranked just behind regardless of where each of these risks fell on the scale, it was clear that the state would be called upon to plan for and clean up after each of them accordingly, a separate document on 'central government's concept of operations' outlined how, in theory, the state, with government as its agent, would act as risk manager""-- provided by publisher",industrial accidents; workers' compensation; welfare state; risk-taking (psychology),"Social insurance,Risk management,Emergency management,Welfare state,Social policy,Industrial accidents,Public welfare administration,The,Social security,Industrial safety,State","Social security,Risk management,Emergency management,Welfare state,Social policy,Industrial accidents,Public welfare administration,Change,Social security,Industrial safety,State, The",0.50,0.18,0.38,0.64,11.00
guide dogs,"""engaging images accompany information about guide dogs the combination of high-interest subject matter and narrative text is intended for students in grades 3 through 7""--provided by publisher",guide dogs,"Service animals,Guide dogs,Dogs,Working dogs","Working animals,Guide dogs,Dogs,Working dogs",1.00,0.25,1.00,0.72,4.00
the modernization of the western world : a society transformed,"""presents an overview of the history of western civilization from ancient history to the current era of globalization""-- provided by publisher","social change; social change; civilization, modern; civilization, western","Social history,Modern,Social change,History,Western,Western countries,Civilization,World history,Historiography,Globalization","Social history,Post-modern . . .,Social change,History,Western Way,Western countries,Civilization,World history,Historiography,Globalization",1.00,0.40,0.60,0.72,10.00
service dog heroes,"""the text opens with a true story of a service dog, and then it explains the history of service dogs and the training methods used to transform an ordinary dog into a canine hero""--provided by publisher",service dogs,"Assistance dogs,Human-animal relationships,Heroes,Service dogs,Working dogs,Animal training,Dogs","Service dogs,Human-animal relationships,Heroes,Service dogs,Working dogs,Animal training,Dogs",1.00,0.14,0.39,0.61,7.00
terrorism,"looks at the techniques authorities use to prevent terrorism, including surveillance, data analysis, biodetectors, and dna evidence",terrorism; terrorism; terrorists,"National security,Biological terrorism,Forensic sciences,Data mining,Crime prevention,DNA fingerprinting,Intelligence service,Electronic surveillance,Terrorism","National security,Biological warfare,Forensic sciences,Data mining,Crime prevention,DNA fingerprinting,Intelligence service,Electronic surveillance,Terrorism",0.50,0.11,0.30,0.43,9.00
choosing a career in banking and finance,"offers an overview of careers in banking and finance-related fields, including required education, salaries, and job potential",banks and banking; finance,"Career development,Finance,Occupational training,Wages,Banking industry,Employment forecasting","Career development,Finance,Occupational training,Wages,Banking,Employment forecasting",0.50,0.17,0.63,0.50,6.00
"learn business analytics in six steps using sas and r : a practical, step-by-step guide to learning business analytics","apply analytics to business problems using two very popular software tools, sas and r no matter your industry, this book will provide you with the knowledge and insights you and your business partners need to make better decisions faster learn business analytics in six steps using sas and r teaches you how to solve problems and execute projects through the ""dcova and i"" (define, collect, organize, visualize, analyze, and insights) process you no longer need to choose between the two most popular software tools this book puts the best of both worlds--sas and r--at your fingertips to solve a myriad of problems, whether relating to data science, finance, web usage, product development, or any other business discipline you will: use the dcova and i process: define, collect, organize, visualize, analyze and insights harness both sas and r, the star analytics technologies in the industry use various tools to solve significant business challenges understand how the tools relate to business analytics see seven case studies for hands-on practice",business; sas (computer program language); r (computer program language); information visualization,"Decision making,Statistical methods,Business,R (Computer program language),SAS (Computer program language),Data mining,Business intelligence,Data visualization,Quantitative research,etc.,Business analytics,manuals,Case studies","Decision making,Statistical methods,Business,R (Computer program language),SAS (Computer program language),Data mining,Business intelligence,Visualization,Quantitative research,Shorts (Clothing),Predictive analytics,Technical manuals,Case studies",0.75,0.23,0.56,0.54,13.00
reshaping beloved community : the experiences of black male felons and their impact on black radical traditions,reshaping beloved community examines the history of black male incarceration starting in the nineteenth century this examination highlights how the label felon and the use of the prison was intentionally deployed to recast black men as dangerous and to justify the use of penal structures to systematically erase black radical projects--provided by publisher,"prisons and race relations; african american men; african american prisoners; african american radicals; imprisonment; criminal justice, administration of","Prisons,Punishment,African American radicals,Ex-convicts,African American prisoners,Race discrimination,Discrimination in criminal justice administration,African Americans,Social justice,Black power,Anti-racism,etc.,Racial profiling in law enforcement,Radicalism,Critical race theory,laws,Institutional racism,Criminalization,Social control,African American men","Prisons,Punishment,African American radicals,Ex-convicts,African American prisoners,Race discrimination,Discrimination in criminal justice administration,African Americans,Social justice,Black power,Anti-racism,Shorts (Clothing),Racial profiling in law enforcement,Radicalism,Critical race theory,Law,Internalized racism,Crimes against,Social control,African American men",0.43,0.15,0.47,0.61,20.00
multilateral surveillance,"surveillance is a core function of the imf, a critical element of its toolkit for promoting global financial stability multilateral surveillance brings into analysis economic linkages and policy spillovers between countries, as well as international economic and market developments this evaluation report covers the imf's multilateral surveillance activities during 2000-05 and addresses a variety of questions: do the issues analyzed under multilateral surveillance reflect the imf's comparative advantage? are these issues relevant and timely? how well are macroeconomic and capital market surveillance combined in the analysis of relevant issues? how well are the messages of multilateral surveillance presented? and does multilateral surveillance have an impact on country policies? the evaluation concludes with recommendations for the imf--publisher's description",economic policy,"International Monetary Fund,Financial crises,Capital market,International cooperation,Organizational effectiveness,Economic development,Financial stability,Globalization,Policy sciences,Economic policy,Macroeconomics,Economic history,International economic relations,Economic surveillance","International finance,Financial crises,Capital market,International cooperation,Organizational effectiveness,Economic development,Economic stabilization,Globalization,Policy sciences,Economic policy,Macroeconomics,Economic history,International economic relations,Economic statistics",1.00,0.07,0.63,0.54,14.00
making the most of your money now : the classic bestseller,"consumers union named making the most of your money the best personal finance book on the market now jane bryant quinn's bestseller has been completely revised and updated for 2010 and beyond america's most trusted financial adviser, who helped millions of readers meet their goals in the 1990s, now provides a guide to financial recovery, independence, and success in the new economy--from publisher description","finance, personal; investments","Saving and investment,Financial literacy,Success in business,Financial security,Finance,Economic conditions,Money management,Personal,Investments,Wealth,Consumer education","Saving and investment,Financial literacy,Success in business,Financial security,Finance,Economic conditions,Cash management,Honesty,Investments,Wealth,Consumer education",1.00,0.27,0.84,0.68,11.00
"ethics, moral life and the body : sociological perspectives","""what kinds of contributions can sociologists make to debates about ethics? what makes sociological investigation of morality and ethical issues distinct from philosophical concerns? is there a place for a separate subfield within the discipline of sociology that deals specifically with questions of ethics and morality? this book places these questions on the sociological agenda the first part of the book addresses the 'ethical turn' in sociology, and includes chapters on defining ethics and morality, lay understandings of ethics, sociological accounts of moral life, and the relation of sociology to bioethics these chapters examine alternative conceptions to mainstream discussions regarding embodiment and ethics the book provides insight into both recent debates in the humanities and social sciences about the circulation and transfer of bodily fluids, tissues, and organs, and the gift-exchange, reciprocity practices, and institutions that make these body economies possible""-- provided by publisher",sociology; ethics,"Medical ethics,Transplantation of organs,Bioethics,Gift exchange,Ethics,Human body,Social ethics,etc.,Social values,tissues,Sociology,Moral conditions","Medical ethics,Transplantation of organs, tissues, etc,Bioethics,Gift wrapping,Ethics,Human body,Social ethics,Shorts (Clothing),Social values,Tissues,Sociology,Moral conditions",1.00,0.17,0.83,0.51,12.00
safety first,"introduces the concept of safety, providing examples of how to be safe at home, in school, while traveling, and on the playground",safety education; children's accidents,"Safety education,Playgrounds,Home accidents,Children's accidents,Transportation,School safety and security,Accident prevention","Safety education,Playgrounds,Home accidents,Children's accidents,Transportation,School safety patrols,Accident prevention",1.00,0.29,0.65,0.67,7.00
"calmer, easier, happier parenting : five strategies that end the daily battles and get kids to listen the first time","when children and teenagers are at their best, it is easy to enjoy them, teach them, live with them and appreciate them however, when they are defiant, argumentative or withdrawn, it is easy to get wound up, to argue back, threaten, nag and shout if this sounds like the situation in your house, then calmer, easier, happier parenting is for you",parent and child; parenting; child rearing; discipline of children,"Stress management,Parent and child,Parenting,Child psychology,Child rearing,Discipline of children,Conflict management,Family communication","Stress management,Parent and child,Parenting,Child psychology,Child rearing,Discipline of children,Conflict management,Communication in families",1.00,0.50,0.59,0.71,8.00
higher : 100 years of boeing,"in one hundred years, the boeing company went from producing a single canvas and wooden pontoon plane in a converted boathouse to being the world's largest aerospace company the thrilling story of the celebrated organization is one filled with ambition, ingenuity, and a passion to exceed expectations in this lavishly illustrated book, pulitzer prize-nominated author russ banham recounts the tale of a company and an industry like no other--one that has put men on the moon, defended the free world, and changed the way humans live in their world",aircraft industry; aerospace industries; boeing airplanes,"Astronautics,Space flight to the moon,Airplanes,Aeronautics,Technological innovations,Boeing Company,Defense industries,Industrial history,Technology and civilization,Aerospace industries,Corporations,Illustrated books","Astronautics,Space flight to the moon,Airplanes,Aeronautics,Technological innovations,Aerospace industries,Defense industries,Industrialization,Technology and civilization,Aerospace industries,Corporations,Illustrated books",0.33,0.08,0.39,0.53,12.00
toleration in conflict : past and present,"""the concept of toleration plays a central role in pluralistic societies it designates a stance which permits conflicts over beliefs and practices to persist while at the same time defusing them, because it is based on reasons for coexistence in conflict - that is, in continuing dissension a critical examination of the concept makes clear, however, that its content and evaluation are profoundly contested matters and thus that the concept itself stands in conflict for some, toleration was and is an expression of mutual respect in spite of far-reaching differences, for others, a condescending, potentially repressive attitude and practice rainer forst analyses these conflicts by reconstructing the philosophical and political discourse of toleration since antiquity he demonstrates the diversity of the justifications and practices of toleration from the stoics and early christians to the present day and develops a systematic theory which he tests in discussions of contemporary conflicts over toleration""-- provided by publisher",toleration; religious tolerance; toleration,"History of doctrines,Political ethics,Social conflict,History,Freedom of religion,Ethics,Critical theory,Multiculturalism,Liberty of conscience,Conflict management,The,Social integration,Cultural pluralism,Contemporary,Toleration,Religious tolerance","History of doctrines,Political ethics,Social conflict,History,Freedom of religion,Ethics,Critical theory,Multiculturalism,Liberty of conscience,Conflict management,Change,Social integration,Cultural pluralism,Contemporary, The,Toleration,Religious tolerance",1.00,0.12,0.38,0.41,16.00
risk tolerance in financial decision making,"""this book sheds light on the emotional side of risk taking behaviour using an innovative cross-disciplinary approach, mixing financial competences with psychology and affective neuroscience in doing so, it shows the implications for market participants and regulators in terms of transparency and communication between intermediaries and customers""-- provided by publisher",financial risk management; finance; risk management,"Decision making,Risk-taking (Psychology),Behavioral economics,Financial institutions,Affective neuroscience,Risk tolerance,Interdisciplinary research,Investments,Financial services industry","Decision making,Risk-taking (Psychology),Experimental economics,Financial institutions,Affective neuroscience,Drawbacks,Interdisciplinary research,Investments,Financial services industry",0.00,0.00,0.00,0.52,9.00
"on the (im)possibility of business ethics : critical complexity, deconstruction, and implications for understanding the ethics of business","corporations, and the environments in which they operate, are complex, with changing multiple dimensions, and an inherent capacity to evolve qualitatively a central premise of this study is that a postmodern reading of ethics represents an expression of, and an engagement with, the ethical complexities that define the business landscape in particular, the deconstructive philosophy of jacques derrida offers a non-trivial reading of a complex notion of ethics, and thereby helps us to develop the skills necessary to critique and intervene in our practices, and to develop robust strategies for living in the absence of prescriptive ethical frameworks although a central premise of this study is that substantive ethical claims can only be generated within a given context, the study nevertheless presents readers with a meta-position that illustrates the type of considerations that should inform ethical reflection from a complexity perspective in order to illustrate the value that this meta-position holds for business ethics, these considerations are explored in terms of the implications that they hold for our understanding of corporate social responsibility, for the practice of responsible management and leadership practices, and for teaching business ethics-- source other than the library of congress",business ethics; management,"Decision making,Modern,Complexity (Philosophy),Jacques,Deconstruction,Postmodernism,Derrida,Corporate social responsibility,Organizational change,Management,Ethics,Critical theory,Social responsibility of business,Leadership,Business ethics","Decision making,Post-modern . . .,Complexity (Philosophy),Route Jacques-Cœur,Deconstruction,Postmodernism,Stenurida,Social responsibility of business,Organizational change,Management,Ethics,Critical theory,Social responsibility of business,Leadership,Business ethics",1.00,0.13,0.47,0.50,15.00
the reinvention of distinction : modernity and the middle class in urban vietnam,"""this pioneering collection brings together an international group of scholars to explore the vietnamese middle class from the leisure pursuits of the colonial middle class to the impact of the new urban rich on landscape of the countryside, this interdisciplinary volume explores the ways in which middle classness has been practiced in a wide range of contexts throughout the 20th century and into the 21st in addition to offering insights into how middle classness was and is constituted and negotiated, this collection illuminates the cultural and social conditions of two distinctive periods in vietnamese history three historical chapters consider how middle class status was experienced and displayed under french colonialism and in 1960s republican these chapters offer examinations of middle classness through recreation, consumption, and associational life six contemporary studies examine the modes of experimentation and practice within middle class urban vietnam still a sensitive topic politically, the contemporary middle class, nascent but increasingly powerful, is exerting a strong impact on the shape of contemporary society and culture, as well as on urban and rural landscapes this volume offers a series of studies which critically interrogate the practices of those who engage in or aspire to urban middle-class lifestyles in vietnam both in the past and in the present""--publisher's website",middle class; city dwellers,"Leisure,Social change,Lifestyles,Middle class,Cities and towns,Vietnam (Republic),Vietnam,Cultural landscapes,1883-1945,Modernity,Rural-urban relations,Urbanization,Consumption (Economics)","Leisure,Social change,Lifestyles,Middle class,Cities and towns,Vietnam (Republic),Vietnam,Cultural landscapes,1905-1945,Post-modern . . .,Rural-urban relations,Urbanization,Consumption (Economics)",0.50,0.08,0.36,0.39,13.00
modern romance,"at some point, every one of us embarks on a journey to find love we meet people, date, get into and out of relationships, all with the hope of finding someone with whom we share a deep connection this seems standard now, but it's wildly different from what people did even just decades ago single people today have more romantic options than at any point in human history with technology, our abilities to connect with and sort through these options are staggering so why are so many people frustrated? some of our problems are unique to our time: ""why did this guy just text me an emoji of a pizza?"" ""should i go out with this girl even though she listed combos as one of her favorite snack foods? combos?!"" ""my girlfriend just got a message from some dude named nathan who's nathan? did he just send her a photo of his penis? should i check just to be sure?"" but the transformation of our romantic lives can't be explained by technology alone in a short period of time, the whole culture of finding love has changed dramatically a few decades ago, people would find a decent person who lived in their neighborhood their families would meet and, after deciding neither party seemed like a murderer, they would get married and soon have a kid, all by the time they were twenty-four today, people marry later than ever and spend years of their lives on a quest to find the perfect person, a soul mate for years, aziz ansari has been aiming his comic insight at modern romance, but for this book he decided he needed to take things to another level he teamed up with nyu sociologist eric klinenberg and designed a massive research project, including hundreds of interviews and focus groups conducted everywhere from tokyo to buenos aires to wichita they analyzed behavioral data and surveys and created their own online research forum on reddit, which drew thousands of messages they enlisted the world's leading social scientists, including andrew cherlin, eli finkel, helen fisher, sheena iyengar, barry schwartz, sherry turkle, and robb willer the result is unlike any social science or humor book we've seen before",man-woman relationships; man-woman relationships; dating (social customs); dating (social customs); courtship; courtship; dating (social customs),"Interviews,Mate selection,Dating (Social customs),Interpersonal relations,Interpersonal communication,Social media,Marriage,Love,Choice (Psychology),Focus groups,Courtship,Internet dating,Social change,Sex role,Online dating,Social surveys,Intimacy (Psychology),Technology,Man-woman relationships","Interviews,Mate selection,Dating (Social customs),Interpersonal relations,Interpersonal communication,Social media,Marriage,Love,Choice (Psychology),Focus groups,Courtship,Online dating,Social change,Sex role,Online dating,Social surveys,Intimacy (Psychology),Technology,Man-woman relationships",1.00,0.16,0.35,0.48,19.00
communication power,"drawing on a wide range of social and psychological theories, castells presents original research on political processes and social movements he applies this analysis to numerous recent events - the misinformation of the american public on the iraq war, the global environmental movement to preventclimate change, the control of information in china and russia, barak obama's internet-based presidential campaigns, and (in this new edition) responses to recent political and economic crises such as the arab spring and the occupy movement on the basis of these case studies he proposes a newtheory of power in the information age based on the management of communication networks",communication; power (social sciences); communication and technology,"Disinformation,Political participation,Social movements,Propaganda,Communication,Information networks,Communication in politics,Internet,Social change,Information society,Power (Social sciences),Globalization,Communication in social movements,Mass media","Disinformation,Political participation,Social movements,Propaganda,Communication,Information networks,Communication in politics,Internet,Social change,Information society,Power (Social sciences),Globalization,Social movements,Mass media",0.67,0.14,0.77,0.53,14.00
developing nations' debt,"""this title examines one of the worlds critical issues, developing nations' debt readers will learn the historical background of this issue leading up to its current and future impact on society what is debt, types of debt, how the debt crisis began, and the human cost of debt and poverty are discussed in detail causes of debt such as costs of oil and war are examined affects of debt and its servicing are also covered""--provided by publisher","debts, external; debt relief","Financial crises,War,Petroleum,Economic history,Debt service,Poverty,Developing countries,Debts,International economic relations,External","Financial crises,War,Petroleum,Economic history,Debt service,Poverty,Developing countries,Debt,International economic relations,Ear, External",0.67,0.20,0.92,0.51,10.00
democracy and development in india's north-east : challenges and opportunities,"contributed articles presented at the seminar on democracy and development in india's north-east: challenges and opportunities, organized by the icssr-north-eastern regional centre, shillong during 6-7 december 2013",economic development; democracy,"Political participation,Conference proceedings,Community development,Postcolonialism,Decentralization in government,Ethnic conflict,Economic development,Regional planning,India,Democracy,Social sciences,Federal government,Northeastern,Regional disparities","Political participation,Conference proceedings,Community development,Postcolonialism,Decentralization in government,Ethnic conflict,Economic development,Regional planning,India,Democracy,Social sciences,Federal government,Northeastern style,Regional disparities",1.00,0.14,0.50,0.47,14.00
will robots take your job? : a plea for consensus,"""the trend that began with atms and do-it-yourself checkouts is moving at lightning speed everything from driving to teaching to the care of the elderly and, indeed, code-writing can now be done by smart machines conventional wisdom says there will be new jobs to replace those we lose ? but is it so simple? and are we ready? technology writer and think tank director nigel cameron argues it's na?ve to believe we face a smooth transition whether or not there are ""new"" jobs, we face massive disruption as the jobs millions of us are doing get outsourced to machines a twenty-first-century ""rust belt"" will rapidly corrode the labor market and affect literally hundreds of different kinds of job simultaneously robots won?t design our future ? we will yet shockingly, political leaders and policy makers do not seem to have this in their line of sight so how should we assess and prepare for this unknown future?""-- provided by publisher",labor supply; technological innovations; automation,"Robotics,Technological unemployment,Workforce planning,Social change,Human-machine systems,Disruptive technologies,Technology and state,Job creation,Labor market,Consensus (Social sciences),Artificial intelligence,Occupational retraining,Industry 4.0,Economic policy,Economic history,Automation,Employment forecasting","Robotics,Technological unemployment,Entry-level employment,Social change,Human-machine systems,Disruptive technologies,Technology and state,Job creation,Labor market,Consensus (Social sciences),Artificial intelligence,Occupational retraining,Industry 4.0,Economic policy,Economic history,Automation,Employment forecasting",0.33,0.06,0.36,0.51,17.00
cooperative innovation : science and technology policy,"""research cooperation in a nation is a fundamental key to national competitiveness in technology that supports growth in a national economy to fully understand why some nations are more successful in innovation than others, one must examine the structure and process of knowledge creation and use -- the science & technology policy of a nation national innovation requires progress both in science & technology, and also in economy research cooperation for innovation is necessary, since science, technology, and production are performed in different sectors of a nation universities conduct research science, and science discovers nature governments support most of the research in universities, and therefore are the principal sponsors of science industry develops most technology and commercializes technology into economically useful products/services the structure and process of knowledge in a nation thus requires (1) creation of knowledge in science, (2) translation of science into technology, and (3) design of technology into commercialization of utility at a national level, innovation is thus a complicated concept -- proposing a need to identify the proper ways that government-university-industry can cooperate to advance knowledge and economically benefit from innovation special programs in science & technology policy that have proven beneficial in fostering research cooperation for national competitiveness will be covered in this book cooperative innovation: science & technology policy helps readers understand a practical science & technology policy for a nation its contents are particularly useful for government administrators of research, industrial research directors, university research directors, and students of science & technology policy""-- provided by publisher","technological innovations; technology and state; science and state; research, industrial; research; academic-industrial collaboration","Research institutes,Knowledge management,Technology and state,Public-private sector cooperation,Cooperation,Industrial,Technology transfer,National security,International,Diffusion of innovations,Academic-industrial collaboration,Triple helix (Economics),Industry and education,Economic development,Technological innovations,Research,Knowledge economy,Science and state,Competition,Research and development partnership,Universities and colleges","Research institutes,Knowledge management,Technology and state,Public-private sector cooperation,Cooperation,Industrial work,Technology transfer,National security,International,Diffusion of innovations,Academic-industrial collaboration,Hysteresis (Economics),Business and education,Economic development,Technological innovations,Research,Knowledge economy,Science and state,Competition,Research and development partnership,Universities and colleges",1.00,0.29,0.67,0.61,21.00
agricultural management strategies in a changing economy,"""this book brings together emergent research and best practices in the area of agricultural management, policy, and structures, highlighting theoretical concepts and empirical research""-- provided by publisher",agriculture; strategic planning; farm management,"Agricultural policy,Agriculture,Agricultural management,Farm management,Agricultural innovations,Sustainable agriculture,Economic development,Agricultural productivity","Agricultural subsidies,Agriculture,Agricultural services,Farm management,Agricultural innovations,Sustainable agriculture,Economic development,Agricultural productivity",0.67,0.25,0.92,0.79,8.00
everything is wonderful : memories of a collective farm in estonia,"in 1993, sigrid rausing, a young student working on a phd in anthropology, went to spend a year living in estonia, a remote baltic state that had just gained independence from the recently collapsed soviet union armed with a notebook, rudimentary estonian, and a clunky laptop, she arrived in the peninsula of noarootsi, on estonia's north-western tip, and made her way to the village of purksi, the place that would be her home for the next twelve months",collective farms; swedes; swedes; post-communism,"Social change,Post-Soviet transition,Soviet Union,Post-communism,Noarootsi Peninsula (Estonia),Memoirs,Ethnology,Anthropology,Rural conditions,Purksi (Estonia),Estonia,Collective farms","Social change,Soviet occupation, 1979-1989,Soviet Union,Post-communism,Sõrve Peninsula (Estonia),Book talks,Ethnology,Anthropology,Rural conditions,Naissaar (Estonia),Estonia,Collective farms",0.67,0.17,0.36,0.51,12.00
food fraud,"food fraud provides an overview of the current state on the topic to help readers understand which products are being impacted, how pervasive food fraud is, and what laws are in effect across the developed world as international food trade increases, food processors, distributors, and consumers are purchasing more and more food from foreign countries that, in many cases, have inadequate oversight or control over what is coming into our supermarkets, restaurants, and refrigerators this book is an essential quick reference that will familiarize readers with the latest issues surrounding the food industry",food adulteration and inspection; food adulteration and inspection; food fraud; food industry and trade,"Food industry and trade,Food law and legislation,Food supply,Food security,International trade,Food fraud,Food adulteration and inspection,Consumer protection,Globalization,Agricultural industries,Food","Food industry and trade,Food law and legislation,Food supply,Food security,International trade,Food fraud,Food adulteration and inspection,Consumer protection,Globalization,Agricultural industries,Food",1.00,0.27,0.46,0.68,11.00
manager onboarding : 5 steps for setting new leaders up for success,"'manager onboarding' will walk hr managers and business leaders through the process of creating a manager onboarding program while onboarding has many touchpoints in a manager's career, this book is going to focus on the new hire or newly promoted phase it is for hr and business leaders who are looking for a roadmap to designing a manager onboarding program",personnel management; leadership,"Mentoring in business,Employee training,Career development,Employee onboarding,Organizational effectiveness,Personnel management,Employee orientation,Leadership,Executives","Mentoring in business,Employee training personnel,Career development,Entry-level employees,Organizational effectiveness,Personnel management,Employee orientation,Leadership,Executives",1.00,0.22,0.57,0.64,9.00
gun control,"discusses the history of guns and gun control in the united states, relevant laws and legal cases, and the arguments posed by both sides in the debate about how much government control there should be over firearms",gun control; firearms ownership; firearms,"Violent crimes,Gun control,United States. Constitution. 2nd Amendment,Firearms,Self-defense (Law)","Violent crimes,Gun control,Pre-emption rights (United States),Firearms,Self-defense (Law)",0.67,0.40,0.62,0.65,5.00
"effects of it on enterprise architecture, governance, and growth","""this book explores the influence of emerging technology on different viewpoints associated with contemporary enterprise, emphasizing an interdisciplinary approach to the comprehension of organizational structure and dynamics""-- provided by publisher",business enterprises; information technology; industrial management; organizational change,"Industrial management,Enterprise architecture,Organizational effectiveness,Organizational change,Information technology,Interdisciplinary research,Corporate governance,Technology,Emerging technologies,Technological innovations","Industrial management,Software architecture,Organizational effectiveness,Organizational change,Information technology,Interdisciplinary research,Corporate governance,Technology,Appropriate technology,Technological innovations",0.75,0.30,0.87,0.68,10.00
investigating the social world : the process and practice of research,"""a comprehensive, balanced text text for research methods courses found in sociology, communication/journalism, political science, public administration, and other social science disciplines it is used in undergraduate through graduate level courses""--provided by publisher",social problems; social sciences,"Research,Public administration,Communication,Qualitative research,Journalism,Quantitative research,Interdisciplinary research,Social sciences,Political science,Sociology","Research,Public administration,Communication,Qualitative research,Journalism,Quantitative research,Interdisciplinary research,Social sciences,Political science,Sociology",0.50,0.10,1.00,0.53,10.00
new business networking : how to effectively grow your business network using online and offline methods,the author shows how to combine proven offline business networking techniques with the newest social media to build networks more efficiently and effectively,business networks; business; online social networks,"Business networks,Business planning,Success in business,Strategic alliances (Business),Internet marketing,Interorganizational relations,Online social networks,Social media","Business networks,Business planning,Success in business,Strategic alliances (Business),Internet marketing,Interorganizational relations,Online social networks,Social media",0.67,0.25,0.82,0.68,8.00
