title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
safehaven : the allied pursuit of nazi assets abroad,"""a detailed study of the development and collapse of the safehaven program initiated by the federal economic administration, advocated by treasury secretary henry morgenthau, and reluctantly supported by britain and france that focused on averting post-world war ii german aggression by investigating and confiscating german assets in neutral countries""--provided by publisher","world war, 1939-1945; german property","world war, 1939-1945; world war, 1939-1945; national socialism; nazis; asset forfeiture; international cooperation against terrorism; anti-terrorism measures; financial crimes investigation; money laundering; counterfeiting; organized crime; white-collar crimes; embezzlement; corruption; bribery; extortion; racketeering; organized crime investigation; law enforcement; criminal justice, administrative; security measures; intelligence service; espionage; treason; sabotage; political refugees; fugitives","World War, 1939-1945,World War, 1939-1945,National socialism,Nazis,Forfeiture,International relations and terrorism,Terrorism risk communication,Money laundering investigation,Money laundering,Counterfeits and counterfeiting,Organized crime,White collar crimes,Embezzlement,Corruption,Bribery,Extortion,Racketeering,Organized crime investigation,Law enforcement,Criminal justice, Administration of,Security measures,Intelligence service,Espionage,Treason,Sabotage,Political refugees,Fugitives from justice",0.67,0.07,0.33,0.32,28.00
"military affairs in russia's great war and revolution, 1914-22","""this multi-author collection of essays analyzes a wide variety of military experiences in russia's first world war and to a lesser extent the russian civil war""--provided by publsher","world war, 1914-1918; world war, 1914-1918","world war, 1914-1918; world war, 1939-1945; world war, 1914-1918; world war, 1939-1945; revolutions; revolutions; soldiers' writings, russian; soldiers' writings, soviet; soldiers' writings, american; soldiers' writings, british; soldiers' writings, french; soldiers' writings, german; soldiers' writings, austrian; soldiers' writings, hungarian; soldiers' writings,","World War, 1914-1918,World War, 1939-1945,World War, 1914-1918,World War, 1939-1945,Revolutions,Revolutions,Soldiers' writings, Russian,Soldiers' writings, Soviet,Soldiers' writings, American,Soldiers' writings, English,Soldiers' writings, French,Soldiers' writings, German,Soldiers' writings, German,Soldiers' writings, Czech,Soldiers' writings",1.00,0.17,0.44,0.47,12.00
border : a journey to the edge of europe,"""in this extraordinary work of narrative reportage, kapka kassabova returns to bulgaria, from where she emigrated as a girl twenty-five years previously, to explore the border it shares with turkey and greece when she was a child, the border zone was rumored to be an easier crossing point into the west than the berlin wall, and it swarmed with soldiers and spies on holidays in the ""red riviera"" on the black sea, she remembers playing on the beach only miles from a bristling electrified fence whose barbs pointed inward toward the enemy: the citizens of the totalitarian regime kassabova discovers a place that has been shaped by successive forces of history: the soviet and ottoman empires, and, older still, myth and legend her exquisite portraits of fire walkers, smugglers, treasure hunters, botanists, and border guards populate the book there are also the ragged men and women who have walked across turkey from syria and iraq but there seem to be nonhuman forces at work here too: this densely forested landscape is rich with curative springs and thracian tombs, and the tug of the ancient world, of circular time and animism, is never far off""--amazoncom",borderlands; borderlands; borderlands; borderlands,"borders; refugees; immigrants; political refugees; ethnic relations; minorities; national characteristics, balkan; ethnology -- balkans; folklore -- balkans; social conflict; cultural pluralism; identity politics; nationalism; communism; post-communism; globalization; human geography; travel writing; journalists' writings, english; authors, british; authors, american; authors, canadian; authors, french-speaking; authors, germanic; authors, slavic; authors, turkish; authors, arabic","Border crossing,Refugees,Immigrants,Political refugees,Ethnic relations,Minorities,National characteristics, Balkan,Serbian influences,Fables, Serbian,Social conflict,Cultural pluralism,Identity politics,Nationalism,Communism,Post-communism,Globalization,Human geography,Travel writing,Journalists in literature,Authors, English,Authors, American,Authors, Canadian,Authors, French,Germanic peoples in literature,Authors, Southern Slavic,Authors, Turkish,Arab authors",0.00,0.00,0.00,0.19,30.00
ending south sudan's civil war,"""following its independence in 2011, three years of civil war have left south sudan on the cusp of full-scale genocide, with its sovereignty discredited by warring elites, asserts a new council special report, ending south sudan's civil war 'the only remaining path to protect [south sudan's] sovereignty and territorial integrity, restore its legitimacy, and politically empower its citizens is through an international transitional administration, established by the united nations and the african union (au), to run the country for a finite period,' argues katherine almquist knopf, the author of the report knopf makes the case that an international transitional administration is the only realistic path to end the violence and to allow south sudan the kind of 'clean break' from its leaders and power structures that can restore the country to viability moreover, she argues that an international transitional administration would not necessitate an investment costlier than what the united states is already spending -- more than $2 billion since 2013 (and more than $11 billion since 2005) the report recommends the united nations and the au lead a transitional administration with an executive mandate for ten to fifteen years to maintain the country's territorial integrity, provide basic governance and public services, rebuild the shattered economy, and establish the political and constitutional framework for the transition to full sovereignty""--publisher's web site",civil war; war; interim governments,"civil war; peace-building; reconstruction (international organization); national security; nation building; conflict management; state-sponsored terrorism; economic sanctions; foreign relations; refugees; human rights violations; ethnic conflicts; postwar reconstruction; government accountability; corruption; democracy; rule of law; military assistance, american; armed forces; humanitarian intervention; peacekeeping forces; multinational corporations; business enterprises; private sector development; infrastructure (economics); natural resources; oil industry; petroleum products; energy policy; food supply; agriculture","Civil war,Peace-building,International organization,National security,Nation-building,Conflict management,State-sponsored terrorism,Economic sanctions,Foreign relations,Refugees,Liability for human rights violations,Ethnic conflict,Postwar reconstruction,Government accountability,Corruption,Democracy,Rule of law,Military assistance, American,Armed Forces,Humanitarian intervention,Peacekeeping forces,Corporations, Foreign,Business enterprises,Public-private sector cooperation,Infrastructure (Economics),Natural resources,Oil industries,Petroleum products,Energy policy,Food supply,Agriculture",0.33,0.03,0.25,0.39,33.00
becoming queen victoria : the tragic death of princess charlotte and the unexpected rise of britain's greatest monarch,"from the acclaimed author of ""england's mistress"" comes a smart, gripping account of the rise to the throne and the early life of queen victoria, and the tragic, little-known story of princess charlotte, the queen who never was",princesses; queens,succession in estates of decedents and intestates [ASSIST,Inheritance and succession,0.00,0.00,0.00,0.21,1.00
the hellenistic world : using coins as sources,"""coinage is one of our key sources for the rich and fascinating history of the hellenistic world (323-31 bc) this book provides students of the period with an up-to-date introduction to hellenistic gold, silver and bronze coins in their cultural and economic contexts it also offers new perspectives on four major themes in contemporary hellenistic history: globalisation, identity, political economy and ideology with more than 250 illustrations, and written in a lucid and accessible style, this book sheds new light on the diverse and multicultural societies of the hellenistic world, from alexander to augustus the author assumes no prior knowledge of hellenistic history, and all greek and latin texts are translated throughout""-- provided by publisher","hellenism; coins, greek; coinage; globalization; group identity","numismatics; coinage; ancient civilizations; money; globalization; social change; civilization, classical; civilization, hellenic; antiquities, roman; antiquities, greek; medals; tokens (numismatics); currency question; monetary policy; international finance; international business enterprises; international relations; trade regulation; commercial law; economics, medieval; economics, modern; economics, theory; money supply; inflation (finance); deflation (economics); financial crises; banking; banks and banking","Numismatics,Coinage,Civilization, Ancient,Money,Globalization,Social change,Civilization, Classical,Civilization, Aegean,Antiquities, Roman,Antiquities, Roman,Medals,Tokens,Currency question,Monetary policy,International finance,International business enterprises,International relations,Trade regulation,Commercial law,Feudalism,Comparative economics,Economics, Mathematical,Money supply,Inflation (Finance),Deflation (Finance),Financial crises,Banking,Banks and banking",0.33,0.07,0.38,0.48,30.00
"women and politeness in eighteenth-century england : bodies, identities, and power","""this first in-depth study of women's politeness examines the complex relationship individuals had with the discursive ideals of polite femininity contextualising women's autobiographical writings (journals and letters) with a wide range of eighteenth-century printed didactic material, it analyses the tensions between politeness discourse which aimed to regulate acceptable feminine identities, and women's possibilities to resist this disciplinary regime ylivuori focuses on the central role the female body played as both the means through which individuals actively fashioned themselves as polite and feminine, and the supposedly truthful expression of their inner status of polite femininity""-- provided by publisher",women; courtesy,"english literature; women authors, english; manners and customs in literature; sex roles in literature; gender identity in literature; feminism and literature; social classes in literature; conduct of life in literature; autobiography in literature; women in literature; women authors, english; politeness in literature; self-perception in literature; feminist criticism; literary form; cultural pluralism in literature; national characteristics in literature; civilization in literature; culture conflict in literature; political science in literature; human beings in literature; ethics","English literature,Women authors, English,Manners and customs in literature,Sex role in literature,Gender identity in literature,Feminism and literature,Social classes in literature,Conduct of life in literature,Autobiography in literature,Women in literature,Women authors, English,Courtesy in literature,Self-perception in literature,Feminist criticism,Literary form,Cultural pluralism in literature,National characteristics in literature,Civilization in literature,Culture conflict in literature,Political science literature,Human beings in literature,Ethics",0.00,0.00,0.00,0.29,22.00
honor and remembrance : a lifetime of service to our country and community,"""honor and remembrance includes: the 66-year history of the vfw post 6633 eleftheria's successes and heartbreaks; the military experiences of our veterans with photos including 96 narratives and 56 summaries; narratives of honorary members who died in service of our nation; stories and photos of the men and women who built the eleftheria post; brief histories of the nation's wars; honor and remembrance lists its deceased members and those who also served; short history of the wwii greek battalion; impact of wwii on the lives of people back home; eleftheria's support to the hellenic-american community and area greek orthodox churches""--dust jacket","veterans; greek americans; soldiers; afghan war, 2001-; iraq war, 2003-2011","world war, 1939-1945; world war, 1914-1918; vietnam war, 1961-1975; korean war, 1950-1953; veterans' organizations; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans; veterans;","World War, 1939-1945,World War, 1914-1918,Vietnam War, 1961-1975,Korean War, 1950-1953,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Veterans,Change",0.14,0.11,0.30,0.61,9.00
doing oral history,"""doing oral history is considered the premier guidebook to oral history, used by professional oral historians, public historians, archivists, and genealogists as a core text in college courses and throughout the public history community this new, third edition thoroughly covers recent developments in digital audio and video recording technology, which have significantly altered the practice of oral history, making it easier both to produce and to disseminate quality recordings at the same time, digital technology has complicated the preservation of the recordings, past and present this basic manual offers detailed advice for setting up an oral history project, conducting interviews and using oral history for research, making video recordings, preserving oral history collections in archives and libraries, and teaching and presenting oral history""-- provided by publisher",oral history; oral history; historiography,interviewing; sound -- recording and reproducing; videorecording; historical biography; folklore; folkloristics; ethnology; anthropology; social sciences; sociology; qualitative research; historiography; history; memory; reminiscences; life histories; autobiographies; autobiography; biographical methods; case studies; fieldwork; participant observation; human geography; cultural geography; local government; urban policy; city planning; cities and towns; communities; community development; community organization; group identity; ethnic,"Interviewing,Recording and reproducing,Video-on-demand,Biographical sources,Folklore,Folklorists,Ethnology,Anthropology,Social sciences,Sociology,Qualitative research,Historiography,History,Memory,Reminiscing,Sex and history,Autobiographies,Autobiography,Biographical methods,Case studies,Fieldwork,Participant observation,Human geography,Cultural geography,Local government,Urban policy,City planning,Cities and towns,Communities,Community development,Community organization,Group identity,Ethnicity",0.50,0.03,0.20,0.37,33.00
"us leadership, history, and bilateral relations in northeast asia","""this book explores the rising importance of history in reshaping international relations in northeast asia""-- provided by publisher ""whereas most discussions of history have centered on the rift between china and japan, this book focuses on three other divisions stemming from deep-seated memories within northern asia, which increasingly will test us diplomacy and academic analysis the first division involves long-suppressed japanese and south korean memories that are critical of us behavior -- concerning issues such as the atomic bombings, the tokyo tribunal, and the korean war how should the united states respond as these memories come out into the open, complicating vital bilateral alliances? the second division is the enduring disagreement between japan and south korea over history what can the united states do to invigorate urgently needed trilateral ties? the third and most important division is the revival of a sinocentric worldview, which foretells a struggle between china and other countries concerning history, one that has already begun in china's dispute with south korea and is likely to implicate the united states above all presenting three perspectives on each theme, the book launches a multi-sided discussion of the importance of history in international relations""-- provided by publisher",collective memory,"history; national characteristics, chinese; national characteristics, japanese; national characteristics, korean; political culture; nationalism; world politics; east asian cooperation; foreign policy; diplomatic relations; sino-japanese border region disputes; sino-korean conflict, 1950-1953; korean reunification question (1945-) ; pacific area; pacific area; pacific area; pacific area; pacific area; pacific area; pacific area; pacific area; pacific area","History,National characteristics, Chinese,National characteristics, Japanese,National characteristics, Korean,Political culture,Nationalism,World politics,East Asian cooperation,Diplomacy,Diplomatics,Sino-Japanese Conflict, 1931-1933,Tabu-dong, Battle of, Korea, 1950,Korean reunification question (1945- ),Pacific Area,Pacific Area,Pacific Area,Pacific Area,Pacific Area,Pacific Area,Pacific Area,Pacific Area,Pacific Area",0.00,0.00,0.00,0.20,19.00
expeditionary culture field guide algeria,"""this guide is designed to help prepare you for deployment to culturally complex environments and successfully achieve mission objectives the guide consists of two parts: part 1 introduces ""culture general,"" the foundational knowledge you need to operate effectively in any global environment 2: presents ""culture specific"" algeria, focusing on unique cultural features of algerian society and is designed to complement other pre-deployment training""--p [2] of cover","cultural awareness; national characteristics, algerian","arabic-speaking countries; arabic speaking peoples; military art and science; military planning; cross-cultural orientation; military personnel; military bases, american; united states -- armed forces -- foreign service personnel; social norms; customs conflict management; communication in international relations; intercultural communication; leadership; organizational behavior; decision making; problem solving; team work; group identity; stereotypes (social psychology); prejudice; discrimination; gender identity; ethnic groups; national characteristics; political culture; religion and politics; isl","Arabic type,Arabic speakers,Military art and science,Military planning,Cross-cultural orientation,Military police,Military bases, American,Foreign enlistment,Social norms,Foreign law, Pleading and proof of,Communication in international relations,Intercultural communication,Leadership,Organizational behavior,Decision making,Problem solving,Teamwork,Group identity,Stereotypes (Social psychology),Prejudices,Discrimination,Gender identity,Ethnic groups,National characteristics,Political culture,Religion and politics,Hel",0.33,0.03,0.36,0.33,29.00
a very expensive poison : the assassination of alexander litvinenko and putin's war with the west,"on november 1, 2006, journalist and russian dissident alexander litvinenko was poisoned in london he died twenty-two days later the cause of death? polonium--a rare, lethal, and highly radioactive substance here luke harding unspools a real-life political assassination story--complete with kgb, cia, mi6, and russian mobsters he shows how litvinenko's murder foreshadowed the killings of other kremlin critics, from washington, dc, to moscow, and how these are tied to russia's current misadventures in ukraine and syria in doing so, he becomes a target himself and unearths a chain of corruption and death leading straight to vladimir putin from his investigations of the downing of flight mh17 to the panama papers, harding sheds a terrifying light on russia's fracturing relationship with the west",dissenters; spies; poisoning; political crimes and offenses; murder; intelligence officers; radiation victims,"poisoning; assassinations; journalists; spies; intelligence service; espionage, russian; spy fiction;","Poisoning,Assassination,Journalists,Spies,Intelligence service,Espionage, Russian,Suspense fiction,Change",0.29,0.22,0.48,0.63,9.00
practicing history : new directions in historical writing after the linguistic turn,"""gabrielle spiegel presents an essential new collection of key articles that examine the current status of the debate over the 'linguistic turn', and attempt to rethink the practice of history in light of its implications these are writings that operate within the framework of the linguistic turn, yet seek to move beyond its initial formulation and reception the volume offers a synoptic overview of the last twenty-five years of theoretical analysis of historical writing, with a critical examination of the key concepts and positions that have been in debate this collection delineates the emergence of a new 'practice theory' as a possible paradigm for future historical interpretation concerned with questions of agency, experience and the subject articles drawn from a mix of critical thinkers and practicing historians are drawn together along with clear and thorough editorial material complex ideas at the forefront of historical practice are revealed and made accessible to students, while for their teachers and other historians this new survey is an indispensable and timely read""--provided by publisher",historiography; language and history; writing,"historiography; linguistics; language and languages; social sciences; postmodernism; philosophy of history; intellectual life -- 20th century; intellectuals; knowledge, sociology of; culture conflict; cultural pluralism; multicultural education; intercultural communication; cross-cultural studies; multilingualism; bilingualism; english language; french language; germanic philology; spanish language; italian language; russian language; chinese language; japanese language; korean language; arabic language; islamic civilization","Historiography,Linguistics,Language and languages,Social sciences,Postmodernism,History and criticism,Intellectual life,Intellectuals,Knowledge, Sociology of,Culture conflict,Cultural pluralism,Multicultural education,Intercultural communication,Cross-cultural studies,Multilingualism,Bilingualism,English language,French language,Germanic philology,Spanish language,Italian language,Russian language,Chinese language,Japanese language,Korean language,Arabic language,Islamic civilization",0.33,0.04,0.22,0.46,28.00
people and cities,learn about the people and cities that have emerged over thousands of years in china's ancient and complex society,cities and towns,"city planning; urbanization; human geography; social change; civilization, chinese; civilizations, ancient; history, modern; sociology, rural; anthropology [assistant] 9781590845179 -- isbn 9781590845186 -- isbn 9781604560084 -- isbn 9781604560091 -- isbn 9781627340127 -- isbn 9781627340134 -- isbn 9781631560115 -- isbn 9781631560122 -- isbn 978164155","City planning,Urbanization,Human geography,Social change,Civilization, Oriental,Civilization, Ancient,History, Modern,Sociology, Rural,First contact (Anthropology)",0.00,0.00,0.00,0.39,12.00
expeditionary culture field guide romania,"""this guide is designed to help prepare you for deployment to culturally complex environments and successfully achieve mission objectives the fundamental information contained within will help you understand the culutral dimension of your assigned location and gain skills necessary for success""--p [2] of cover","cutural awareness; national characteristics, romanian",romanians; cultural awareness; military art and science -- romanian speaking countries; military planning; strategic aspects of individual behavior; human factors in counterinsurgency; psychological warfare; social psychology; communication in international relations; conflict management; peace-building; diplomacy; intercultural communication; cross-cultural orientation programs; ethnology; anthropology--methodology; anthropologists; anthropological linguistics; language and languages; folklore; customs; festivals; holidays; food habits; clothing and dress; music; dance,"Romanians,Cultural awareness,Art, Romanian,Military planning,Benefit theory,Counterinsurgency,Psychological warfare,Social psychology,Communication in international relations,Conflict management,Peace-building,Diplomacy,Intercultural communication,Cultural programs,Ethnology,Applied anthropology,Anthropologists,Anthropological linguistics,Language and languages,Folklore,Morning customs,Festivals,Holidays,Food habits,Clothing and dress,Music,Dance",0.33,0.04,0.33,0.28,28.00
ned kelly under the microscope : solving the forensic mystery of ned kelly's remains,"ned kelly was hanged at the old melbourne gaol on 11 november 1880, and his body buried in the graveyard there many stories emerged about his skull being separated and used as a paperweight or trophy, and it was finally put on display at the museum of the old melbourne gaol - until it was stolen in 1978 it wasn't only ned kelly's skull that went missing after the closure of the old melbourne gaol in 1929, the remains of deceased prisoners were exhumed and reinterred in mass graves at pentridge prison the exact location of these graves was unknown until 2002, when the bones of prisoners were uncovered at the pentridge site during redevelopment this triggered a larger excavation that in 2009 uncovered many more coffins, and led to the return of the skull and a long scientific process to try to identify and reunite ned kelly's remains",bushrangers; forensic sciences; forensic osteology; human remains (archaeology); excavations (archaeology),skulls; human dissection; skeletal remains (archaeology); crime scene searches; criminal investigation; police -- australia; criminals; outlaws; bushrangers; death row inmates; executions; hanging; prisons; grave robbing; museums; thefts; artifacts; archaeological sites; archaeologists; anthropological museums and collections; anthropology; paleoanthropology; osteobiography; forensic sciences; bone analysis; dna fingerprinting; molecular biology; genetic research; genetics; genealogy; family,"Skull,Human dissection,Human remains (Archaeology),Crime scene searches,Criminal investigation,Police, Private,Criminals,Outlaws,Bushrangers,Death row inmates,Executions,Hanging,Prisons,Grave robbing,Museums,Theft,Alien artifacts,Archaeological sites,Archaeologists,Anthropological museums and collections,Anthropology,Paleoanthropology,Bone lengthening (Orthopedics),Forensic sciences,Bone densitometry,DNA fingerprinting,Molecular biology,Reverse genetics,Genetics,Genealogy,Family",0.60,0.09,0.37,0.47,32.00
contesting indochina : french remembrance between decolonization and cold war,"""how does a nation come to terms with losing a war--especially an overseas war the purpose of which is fervently contested? in the ensuing years, how does such a nation construct and reconstruct its identity and values? for the french in indochina, the stunning defeat at dien bien phu ushered in the violent process of decolonization and a fraught reckoning with a colonial past contesting indochina is the first in-depth study of the competing and intertwined narratives of the indochina war it analyzes the layers of french remembrance, focusing on state-sponsored commemoration, veterans' associations, special-interest groups, intellectuals, films, and heated public disputes these narratives make up the ideological battleground for contesting the legacies of colonialism, decolonization, the cold war, and france's changing global status""--provided by publisher","indochinese war, 1946-1954; decolonization","vietnam war, 1961-1975; vietnamese conflict, 1946-1954; memory; national characteristics, french; nationalism; political culture; collective memory; historical consciousness; history; cultural pluralism; postcolonialism; anti-communist movements; communism -- moral and ethical aspects; communist propaganda; ideology; politics and literature; film criticism; cinema; filmmakers; historians; historiography; social change; globalization; world politics -- 20th century; world politics","Vietnam War, 1961-1975,Vietnam War, 1961-1975,Memory,National characteristics, French,Nationalism,Political culture,Collective memory,New Historicism,History,Cultural pluralism,Postcolonialism,Anti-communist movements,Communist ethics,Propaganda, Communist,Ideology,Politics and literature,Film criticism,Slow cinema,Independent filmmakers,Historians,Historiography,Social change,Globalization,World politics,World politics",0.00,0.00,0.00,0.33,26.00
representing mass violence : conflicting responses to human rights violations in darfur,"""how do un security council and international criminal court interventions, both part of the justice cascade, color representations of mass violence? what images of suffering and of responsible actors arise instead from the humanitarianism and diplomacy fields? how are these competing perspectives communicated to the public via mass media? zooming in on the case of darfur, joachim j savelsberg analyzes over three thousand news reports and opinion pieces and interviews leading newspaper correspondents, ngo experts, and foreign ministry officials from eight countries to show the dramatic differences in the framing of mass violence around the world and across social fields representing mass violence contributes to our understanding of how the world acknowledges and responds to violence in the global south""--provided by publisher",violence; violence; human rights; human rights,"genocide; crimes against humanity; war crime trials; conflict management; political atrocities; press coverage of international events; communication in politics; representation (social psychology); discourse analysis, political; humanitarian assistance; peace-building; genocide; crimes against humanity; war crime trials; conflict management; political atrocities; press coverage of international events; communication in politics; representation (social psychology); discourse analysis, political; humanitarian assistance; peace-building; genocide; crimes against humanity; war crime trials; conflict management; political atrocities","Genocide,Crimes against humanity,War crime trials,Conflict management,Political atrocities,International broadcasting,Communication in politics,Mental representation,Discourse analysis,Humanitarian assistance,Peace-building,Genocide,Crimes against humanity,War crime trials,Conflict management,Political atrocities,International broadcasting,Communication in politics,Mental representation,Discourse analysis,Humanitarian assistance,Peace-building,Genocide,Crimes against humanity,War crime trials,Conflict management,Political atrocities",0.00,0.00,0.00,0.38,11.00
fame and infamy : essays for christopher pelling on characterization in greek and roman biography and historiography,"over recent decades, the debate about how individuals are portrayed in prose-texts of greek and roman historiography and biography has evolved in increasingly nuanced ways the sorts of questions which now tend to be raised concerning such prose-texts brings them closely into line with the more subtle analysis usually reserved for poetry moreover, the engagement with literary strategies at work in historiography and biography has a fundamental impact both on the relationship of these texts with poetry and on the status of these genres as historical evidence in twenty-four chapters written by leading experts in their fields, 'fame and infamy' considers the central question of characterization within greek and roman historiography and biography from a fresh perspective, combining close readings of texts of individual authors and overarching exploration into questions of how and why characterization in the ancient world evolves in the ways that it does spanning a wide period of time, and focusing on writers from both the greek and roman worlds - from herodotus to cassius dio, and from cicero to suetonius and beyond - this volume is essential reading for anyone interested in the evolution of the genres of historiography and biography in the ancient world",biography; historiography; historiography,"character; historians; biographers; literature, ancient; history, ancient; rhetoric, ancient; classical philology; classics -- study and teaching; criticism, interpretation, etc; civilization, classical; civilizations, ancient; civilization, western; culture diffusion; cultural pluralism; multicultural education; social change; human beings; identity (psychology); self-perception; personality; psychology, comparative; philosophy, ancient; ethics; moral development; morality; values; virtues; conduct of life; ethics, ancient","Character,Historians,Biographers,Literature, Ancient,History, Ancient,Rhetoric, Ancient,Classical philology,Textbooks for older people,Criticism, interpretation, etc,Civilization, Classical,Civilization, Ancient,Civilization, Western,Culture diffusion,Cultural pluralism,Multicultural education,Social change,Human beings,Identity (Psychology),Self-perception,Personality,Psychology, Comparative,Philosophy, Ancient,Ethics,Moral development,Moralities,Values,Virtues,Conduct of life,Ethics, Ancient",0.00,0.00,0.00,0.35,32.00
1994 national aboriginal and torres strait islander survey : social atlas,presents map displays of social statistics for the indigenous population of australia it draws mainly on the results of the national aboriginal and torres strait islander survey but also uses other important statistics from abs (eg 1991 census data) and other collections of vital statistics this is a preliminary output from a project to develop social indicators for indigenous people of australia,aboriginal australians; torres strait islanders; aboriginal australians; torres strait islanders; aboriginal australians; torres strait islanders; aboriginal australians; torres strait islanders; aboriginal australians; torres strait islanders; aboriginal australians; torres strait islanders; aboriginal australians; torres strait islanders,"indians; indigeneity; aborigines, australian; surveys; maps; atlases, statistical; indians; indigenes; abórigenes; encuestas; cartas geografícass estadísticas; indicadores sociales; estadiśticos sociales; indigènes; autochtones; indiens d'australie; indiennes d'âustralie; statistiques des populations de l'oceanie","Indians,Self-deception,Aboriginal Australians,Surveys,Maps,Atlases, Scientific,Indians,Eigenvalues,Andorite,Empoasca,Pans (Geomorphology),Habitus (Sociology),Habitus (Sociology),Eigenvalues,Autochton,Australite,Australite,Flatfish populations",0.50,0.07,0.28,0.29,15.00
individuality and modernity in berlin : self and society from weimar to the wall,"""moritz föllmer traces the history of individuality in berlin from the late 1920s to the construction of the berlin wall in august 1961 the demand to be recognised as an individual was central to metropolitan society, as were the spectres of risk, isolation and loss of agency this was true under all five regimes of the period, through economic depression, war, occupation and reconstruction the quest for individuality could put democracy under pressure, as in the weimar years, and could be satisfied by a dictatorship, as was the case in the third reich it was only in the course of the 1950s, when liberal democracy was able to offer superior opportunities for consumerism, that individuality finally claimed the mantle individuality and modernity in berlin proposes a fresh perspective on twentieth-century berlin that will engage readers with an interest in the german metropolis as well as european urban history more broadly""-- provided by publisher",individuality; self; risk; agent (philosophy); social isolation; city and town life; social change; politics and culture,"social change; city planning; cities and towns; individualism; modernization; civilization, western; post-communism; political culture -- germany; politics, practical -- germany; sociology, urban; sociological jurisprudence; capitalism; socialism; communism; liberalism; conservatism; democratic leadership; totalitarianism; authoritarianism; nationalism; national characteristics, german; group identity; cultural pluralism; multiculturalism; globalization; global village; mass media; popular culture; youth movements; civil rights movement;","Social change,City planning,Cities and towns,Individualism,Time management,Civilization, Western,Post-communism,German influences,Participation, East German,Sociology, Urban,Sociological jurisprudence,Capitalism,Socialism,Communism,Liberalism,Conservatism,Political leadership,Totalitarianism,Authoritarianism,Nationalism,National characteristics, German,Group identity,Cultural pluralism,Multiculturalism,Globalization,Village communities,Mass media,Popular culture,Youth movements,Civil rights movements,Change",0.12,0.03,0.26,0.49,35.00
broken lines : genealogical literature in late-medieval britain and france,"the essays in this collection explore the genealogical literature of late-medieval britain and france in relation to issues of identity, the transmission of power, and cultural, socio-political and economic developments they give the reader a complex understanding of genealogical literature and its relationships with other genres",genealogical literature; genealogical literature,"medievalism; genealogy; english literature; french literature; middle ages -- historiography; nobility; aristocracy (social class); social classes; kings and rulers; queens; royalty; heraldry; coats of arms; family records; manuscripts; manuscript books; printing; bookbinding; illuminated manuscripts; art, medieval; art, european; iconography; symbolism in art; literary form; historical fiction, english; historical fiction, french; history in literature; political science in literature; national","Medievalism,Genealogy,English literature,French literature,15th and 16th centuries,Nobility,Aristocracy (Social class),Social classes,Kings and rulers,Queens,Prerogative, Royal,Heraldry,Coats,Family records,Manuscripts,Book collections,Printing,Bookbinding,Manuscripts, Sogdian,Art, Medieval,Art, European,Iconography,Symbolism in art,Literary form,Historical fiction, English,Historical fiction, French,History in literature,Political science literature,National service",0.00,0.00,0.00,0.30,32.00
teaching history with message movies,"""this volume is a teacher's guide for teaching with ""message,"" or social problem, films it will cover key themes and concepts and will also provide an era-by-era overview of significant issues and related films, a tutorial in using film in historical methodology, user guides for key movies, and sample exercises and assignments for classroom use""-- provided by publisher",history; social problem films; motion pictures in education,motion pictures; education; educational films; teachers' instructional materials; children -- conduct of life; character development in children; values; moral instruction of children; children's questions and answers; children's literature; children's stories; children's plays; children's theater; drama in education; social problems; mass media; television programs; video recordings--for children; popular culture; youth; young adults; adolescents; teenagers; high school students; college students; university extension; curriculum planning; lesson plans;,"Motion pictures,Education,Educational films,Teachers' manuals,Discipline of children,Storytelling ability in children,Values,Moral education (Early childhood),Children's questions and answers,Children's literature,Children's stories,Children's plays,Children's theater,Drama in education,Social problems,Mass media,Television programs,Video recordings for hard of hearing people,Popular culture,Youth,Young adults,Teenagers,Teenagers,High school students,College students,University extension,Curriculum planning,Lesson planning,Change",0.00,0.00,0.00,0.38,28.00
